Tipo,Nombre,Año de Estreno,Mes de Estreno,ID de la Película
Movie,Milli Vanilli,2022,,tt0965381
Movie,Laal Singh Chaddha,2022,8,tt10028196
Movie,MobSense,2022,,tt10029484
Movie,Adventures in Game Chasing,2022,1,tt10035194
Movie,The Christmas Spirit,2022,,tt10047464
Movie,Sneakerella,2022,5,tt10160886
Movie,Gap Weekend,2022,9,tt10193142
Movie,"Bernice, Too",2022,2,tt10215442
Movie,Wyjdź za mnie,2022,2,tt10223460
Movie,Stroke of Luck,2022,1,tt10234990
Movie,Strange World,2022,11,tt10298840
Movie,Amsterdam,2022,10,tt10304142
Movie,Big Gold Brick,2022,8,tt10308878
Movie,Unplugging,2023,1,tt10314040
Movie,Levi Roots,,,tt10321490
Movie,Slugger O'Toole,2022,3,tt10345880
Movie,Fisherman's Friends: One and All,2022,11,tt10373344
Movie,Jayeshbhai Jordaar,2022,5,tt10393870
Movie,L'homme parfait,2022,6,tt10415020
Movie,Honest to God,2022,5,tt10430844
Movie,Maurice le chat fabuleux,2023,2,tt10473036
Movie,The Year of the Soul,2022,9,tt10478422
Movie,King Size,2022,,tt10503950
Movie,Champagne!,2022,6,tt10515720
Movie,A Fada do Lar,2022,10,tt10541410
Movie,O Palestrante Motivacional,2022,8,tt10558652
Movie,Mind-Set,2022,4,tt10588504
Movie,A Walk in the Park,2022,1,tt10627804
Movie,Lecciones para canallas,2022,9,tt10633878
Movie,Babylon,2023,1,tt10640346
Movie,Thor: Love and Thunder,2022,7,tt10648342
Movie,Nikamma,2022,6,tt10687220
Movie,Entergalactic,2022,9,tt10687116
Movie,Bachchhan Paandey,2022,3,tt10699086
Movie,Sexagenarian,Desconocido,Desconocido,tt10710018
Movie,Creatures of Necessity,2022,11,tt10741388
Movie,Suitable Etc.,2022,1,tt10787610
Movie,Leonardo and the Love,2022,,tt10836576
Movie,Krime Story,2022,2,tt10904808
Movie,Hommes au bord de la crise de nerfs,2022,3,tt10945232
Movie,The Journey of Gabe,,,tt10956432
Movie,Il sesso degli angeli,2022,4,tt10964096
Movie,Spirited,2022,11,tt10999120
Movie,Cirkus,2022,12,tt11112808
Movie,Perfect Strangers,2022,1,tt11112784
Movie,Casey's Cleaning,2022,,tt11150726
Movie,An American Masquerade,2022,12,tt11151578
Movie,India Fashion Factory,2022,4,tt11151958
Movie,Dilly Loves Kitty,2022,1,tt11170782
Movie,Bon Bini Holland 3,2022,6,tt11177150
Movie,I Want to Thank the Academy,2022,12,tt11181742
Movie,Sex Appeal,2022,4,tt11203022
Movie,Patel Vs Patrick,2022,4,tt11203664
Movie,"SÍ, A TODO",2022,,tt11203728
Movie,Rock Dog 3: Battle the Beat,2023,1,tt11207270
Movie,Going Down,,,tt11209930
Movie,Il cacio con le pere,2022,,tt11214950
Movie,Am I OK?,2022,1,tt11225626
Movie,Dog,2022,2,tt11252248
Movie,Amor de madre,2022,4,tt11269026
Movie,June Bugs,2022,,tt11280542
Movie,Massive Talent,2022,6,tt11291274
Movie,Beast,2022,4,tt11301946
Movie,Lucy ist jetzt Gangster,2022,,tt11307462
Movie,James,2022,3,tt11379988
Movie,Bilbo and the Legend of the Last Living Cow,2022,12,tt11378676
Movie,Kendi Yolumda,2022,11,tt11397180
Movie,Wedding Season,2022,8,tt11426572
Movie,The Junior Squad Returns,2022,12,tt11433000
Movie,Aankh Micholi,2022,9,tt11433822
Movie,Oskars Kleid,2022,12,tt11436640
Movie,Will-o'-the-Wisp,2022,9,tt11460816
Movie,Jackass Forever,2022,2,tt11466222
Movie,Chris to the Future Part II: The Amietrix,,,tt11473980
Movie,Ajayante Randam Moshanam,2022,,tt11531182
Movie,Son Parti,2022,4,tt11534504
Movie,BigBug,2022,2,tt11541872
Movie,Glass Onion - Knives Out,2022,12,tt11564570
Movie,Hoy se arregla el mundo,2022,1,tt11592014
Movie,Dag för dag,2022,3,tt11611064
Movie,Soygun Oyunu: Büyük Vurgun,2022,2,tt11633442
Movie,Tootu Madike,2022,7,tt11646442
Movie,The Man from Toronto,2022,6,tt11671006
Movie,Viens je t'emmène,2022,3,tt11669538
Movie,Posti,2022,6,tt11680472
Movie,Canallas,2022,4,tt11694374
Movie,The House,2022,1,tt11703050
Movie,Pohrabuvannya po-ukrayinsky,2022,,tt11704144
Movie,Pocahontas Returns,2022,3,tt11723646
Movie,Venice at Dawn,2022,8,tt11760690
Movie,Molly Bling Bling,,,tt11834118
Movie,Soof 3,2022,9,tt11847834
Movie,Lasciarsi un giorno a Roma,2022,1,tt11847972
Movie,Amor es amor,2022,,tt11866682
Movie,Heropanti 2,2022,4,tt11873440
Movie,Nishana,2022,11,tt11899856
Movie,Hocus Pocus 2,2022,9,tt11909878
Movie,Chicken Strips: The Trials and Tribulations of Becoming a Garage Band,2022,9,tt11915062
Movie,Contando ovejas,2022,4,tt11917930
Movie,Badhaai Do,2022,2,tt11934846
Movie,Пасхальное воскресенье,2022,8,tt11952606
Movie,Relative,2022,3,tt11963006
Movie,Vengeance,2022,7,tt11976532
Movie,Doppelte Rückzahlung,2022,11,tt11990924
Movie,Violent Night,2022,12,tt12003946
Movie,Afacanlar: Is Basa Düstü,2022,2,tt12010446
Movie,Vuelta al perro,2022,4,tt12015752
Movie,YBAS,2022,10,tt12014258
Movie,It's a Cop Thing 2 the Last Laugh,2022,9,tt12035738
Movie,Save the Cinema,2022,1,tt12048234
Movie,Maybe Someday,2022,4,tt12054842
Movie,Malcriados,2022,,tt12058412
Movie,Galwakdi,2022,4,tt12062432
Movie,"Camera Café, la película",2022,3,tt12089564
Movie,Horny,2022,6,tt12092838
Movie,Something Good Coming,2022,8,tt12111220
Movie,When You Finish Saving the World,2023,1,tt12121582
Movie,Jack Be Nimble,2022,1,tt12126628
Movie,Metal Lords,2022,4,tt12141112
Movie,King Lahiri,2022,8,tt12180812
Movie,Wunderschön,2022,2,tt12194006
Movie,Cosas de amigos,2022,7,tt12197580
Movie,Moving Parts,2022,,tt12198068
Movie,Corro da te,2022,3,tt12215252
Movie,Volta,2022,,tt12223738
Movie,Detective Inspector,2022,12,tt12230756
Movie,Grandpa's Crazy?,2022,1,tt12267750
