Tipo,Nombre,Año de Estreno,Mes de Estreno,ID de la Película
Movie,On the Road,2012,5,tt0337692
Movie,Acorralados,2012,6,tt0426566
Movie,Caleuche: El llamado del Mar,2012,11,tt0433533
Movie,L'apocalisse delle scimmie,2012,,tt0433787
Movie,Lincoln,2013,1,tt0443272
Movie,Life of Pi,2012,12,tt0454876
Movie,Being Flynn,2012,9,tt0455323
Movie,Steve Phoenix: The Untold Story,2012,1,tt0462036
Movie,Clutch,2012,,tt0475239
Movie,Sushi in Suhl,2012,10,tt0485521
Movie,Red Tails,2012,1,tt0485985
Movie,Making Change,2012,,tt0486622
Movie,A Thousand Words,2012,3,tt0763831
Movie,The Attack,2013,5,tt0787442
Movie,Belle du Seigneur,2013,6,tt0810772
Movie,Jack & Diane,2012,4,tt0850677
Movie,Folie à deux,2012,7,tt0852441
Movie,The Sweeney,2013,3,tt0857190
Movie,Evangelion Shin Gekijôban: Kyu,2012,11,tt0860907
Movie,Letting Go,2012,10,tt0865557
Movie,Exposed,2012,11,tt0907852
Movie,White Men Can't Dance,2012,1,tt0926170
Movie,Hitchcock,2013,3,tt0975645
Movie,Four,2013,9,tt0980999
Movie,The Courier,2012,5,tt0995845
Movie,Kokomma,2012,9,tt10077568
Movie,Zeit der Olive,Desconocido,Desconocido,tt10084174
Movie,The flowers at the window,2012,2,tt10096178
Movie,"Mamo, ya lotchyka lyublyu",2012,10,tt10097664
Movie,Midnight Party,Desconocido,Desconocido,tt10097968
Movie,After the flood,2012,12,tt10122258
Movie,Das Ewige Antlitz,2012,,tt10152304
Movie,Vinmeengal,2012,,tt10157728
Movie,Du shi tong hua,2012,8,tt10167110
Movie,My Avatar Horse,2012,,tt10168040
Movie,Block Burner,2012,1,tt10203594
Movie,Argo,2012,11,tt1024648
Movie,Nochoice,2012,9,tt10279798
Movie,Last Days In Waldo County,2012,,tt10300354
Movie,Daisy,2012,8,tt10351820
Movie,Everyday,2013,1,tt1037223
Movie,The Story of Luke,2013,4,tt1038693
Movie,Silver Linings Playbook,2013,2,tt1045658
Movie,Song for Marion,2013,4,tt1047011
Movie,Saad,2012,10,tt10477954
Movie,The Bird Who Saved the World,2012,4,tt10510384
Movie,Nasilje-Mreza-Resenje,2012,12,tt10540310
Movie,This Bitter Earth,2012,12,tt1060273
Movie,Kuroinu: Kedakaki Seijo wa Hakudaku ni Somaru,2012,1,tt10623034
Movie,Murder,2012,4,tt10661814
Movie,Blitz and Bananas,2012,4,tt10799794
Movie,Espacio interior,2013,7,tt1081975
Movie,Shabnam and Shafaq,2012,6,tt10857830
Movie,The Dark Side of Love,2012,5,tt1087440
Movie,Ardhanaari,2012,11,tt10892820
Movie,Un cuento Latinoamericano,2015,11,tt10926206
Movie,"0,40%",2012,,tt10933112
Movie,Orkut Oru Ormakoot,2012,1,tt10952232
Movie,Shakhta,2012,,tt11035780
Movie,Bokad,2012,,tt11046402
Movie,Between Us,2012,9,tt1109574
Movie,History Rediscovered: The Secret Life of Adolf Hitler,2012,9,tt11095492
Movie,Driving Me Crazy: Proof of Concept,2012,,tt1109587
Movie,"Ja som baník, kto je viac...",2012,,tt11136648
Movie,Hard Man,2012,,tt11147552
Movie,Kalua Bhail Sayan,2012,6,tt11157356
Movie,Antim Tandav,2012,10,tt11157332
Movie,Winou Baba?,2012,6,tt11198608
Movie,Art of Submission,2013,1,tt1121986
Movie,Devra Pe Manva Dole,2012,5,tt11237988
Movie,The Girl,2013,12,tt1127883
Movie,Zug O Pered,2012,6,tt11300390
Movie,Lay the Favorite,2013,1,tt1132449
Movie,Il muro celato,Desconocido,Desconocido,tt11357310
Movie,Frankenweenie,2012,10,tt1142977
Movie,Perfection,2012,4,tt1142985
Movie,Old Gold Time,2012,6,tt11437792
Movie,Mountain Mafia,2012,,tt1144548
Movie,Harold & Lorna: World Water Speed Champions,2012,8,tt11469728
Movie,Ron and Justin,2012,,tt11481990
Movie,Judge Zhan,2012,11,tt11496394
Movie,Tang Ka,2012,,tt11496402
Movie,Wu Ren Bao,2012,9,tt11496404
Movie,I Swan,2012,6,tt11496398
Movie,Broken Kingdom,2012,10,tt1153693
Movie,Mopireul ipeun bineoseu,2012,7,tt11591164
Movie,Cheerful Weather for the Wedding,2013,2,tt1159922
Movie,Kosmische Puppen III,2012,8,tt11670412
Movie,Where Is Joel Baum?,Desconocido,Desconocido,tt1172232
Movie,18++: Forever Love,Desconocido,Desconocido,tt11738520
Movie,Hello Cô Ba,2012,1,tt11759852
Movie,Gapos,2012,4,tt11760028
Movie,Ardham Chesukoru,2012,8,tt11773516
Movie,Colegas,2013,3,tt1179259
Movie,Easy Rider: The Ride Back,2015,,tt1185838
Movie,"Jelena, Katarina, Marija",2012,10,tt1187027
Movie,The Door,2012,3,tt1194577
Movie,Gajoksinema,2012,11,tt12038260
Movie,Murattu Kaalai,2012,6,tt12048360
Movie,Middle of Nowhere,2014,9,tt1211890
Movie,Lawless,2012,11,tt1212450
Movie,Love Virtually,2012,,tt12146104
Movie,Retazos,2012,10,tt12150292
Movie,Joint Enterprise,2012,,tt12153354
Movie,Silencios Rotos,2012,12,tt12154814
Movie,Dropping Evil,2012,,tt1220224
Movie,Dust,2012,5,tt1220626
Movie,Akalted Ghiri,Desconocido,Desconocido,tt12211090
Movie,Nightfall,2012,3,tt12239850
Movie,A Late Quartet,2013,3,tt1226240
Movie,You Can't Go Back,2012,10,tt12275180
Movie,Shadows of Life,2012,12,tt12283858
Movie,Not Fade Away,2013,7,tt1230215
Movie,Mit O Szarym,2012,9,tt12313694
Movie,Café amargo,2012,,tt12319748
Movie,Red Dawn,2012,11,tt1234719
Movie,Clear Lake,2012,11,tt1238284
Movie,Milo,2012,11,tt1242658
Movie,Amanti,2012,4,tt12425198
