,nombre_peli,nombre_actxr,conocido_por,year_nacimiento,profesiones_string,premios
819,The Blue of Noon,Carlos Álvarez-Nóvoa,"['Solas', 'La hija del caníbal']",1940,"Reparto, Guion",5 premios y 5 nominaciones
820,The Blue of Noon,Álex Angulo,"['El laberinto del fauno', 'El día de la bestia']",1953,"Reparto, Producción",4 premios y 6 nominaciones
821,The Blue of Noon,José María Asín,"['Todos estamos invitados', '2 rivales casi iguales']",N/A,Reparto,José Mari Asin
822,Wie man leben soll,Emily Cox,"['The Last Kingdom', 'Jerks']",1985,Reparto,1 nominación
823,Wie man leben soll,Robert Stadlober,"['Tormenta de verano', 'Enemigo a las puertas']",1982,"Reparto, Producción, Dirección",5 premios y 3 nominaciones
824,Wie man leben soll,Robert Finster,"['Tribus de Europa', 'Presas de caza']",1984,Reparto,N/A
825,Wie man leben soll,Manuel Rubey,"['Falco - Verdammt, wir leben noch!', 'Fauner Consulting']",1979,"Reparto, Producción, Banda sonora",8 nominaciones
826,Wie man leben soll,Marisa Growaldt,"['La cinta blanca', 'Je sicherer du bist desto dünner wird mein Rücken sein']",1972,"Reparto, Guion, Dirección","1,74 m"
827,Wie man leben soll,Josef Hader,"['Der Knochenmann', 'Wilde Maus']",1962,"Reparto, Guion, Dirección",N/A
828,Wie man leben soll,Michael Ostrowski,"['Die unabsichtliche Entführung der Frau Elfriede Ott', 'Ha vuelto']",1973,"Reparto, Guion, Diseño de vestuario",2 premios y 5 nominaciones
829,Wie man leben soll,Maria Hofstätter,"['Paraíso: Fe', 'Sophie Scholl (Los últimos días)']",1964,Reparto,N/A
830,Mening akam boydoq,Robert Finster,"['Tribus de Europa', 'Presas de caza']",1984,Reparto,N/A
831,Mening akam boydoq,Manuel Rubey,"['Falco - Verdammt, wir leben noch!', 'Fauner Consulting']",1979,"Reparto, Producción, Banda sonora",8 nominaciones
832,Mening akam boydoq,Marisa Growaldt,"['La cinta blanca', 'Je sicherer du bist desto dünner wird mein Rücken sein']",1972,"Reparto, Guion, Dirección","1,74 m"
833,Mening akam boydoq,Josef Hader,"['Der Knochenmann', 'Wilde Maus']",1962,"Reparto, Guion, Dirección",N/A
834,Valley of the Sun,Johnny Whitworth,"['Sin límites', 'Empire Records']",octubre,"Reparto, Producción",N/A
835,Valley of the Sun,Maggie Andrew,"['Mothers and Daughters', 'Valley of the Sun']",N/A,Reparto,"1,68 m"
836,Valley of the Sun,Pasha D. Lychnikoff,"['Deadwood', 'Shameless']",1967,Reparto,7 premios y 6 nominaciones
837,Valley of the Sun,Jennifer Meadows,['Valley of the Sun'],N/A,Reparto,"1,70 m"
838,Valley of the Sun,Leeann Dearing,"['Everything Must Go', 'Intersect']",N/A,"Reparto, Guion, Casting",N/A
839,Valley of the Sun,Wanda Melendez,['Valley of the Sun'],N/A,Reparto,N/A
840,Valley of the Sun,Daniel Zacapa,"['The River', 'The Mexican']",1951,"Reparto, Producción",2 premios y 1 nominación
841,Valley of the Sun,Max Arciniega,"['Breaking Bad', 'Better Call Saul']",abril,"Reparto, Producción, Guion",N/A
842,Shadows,William Hurt,"['Una historia de violencia', 'Perdidos en el espacio']",1950,"Reparto, Producción",N/A
843,Shadows,Cary Elwes,"['Saw', 'La princesa prometida']",1962,"Reparto, Producción, Dirección",N/A
844,Shadows,Ploy Jindachote,"['Lo imposible', 'Krasue Valentine']",1982,Reparto,N/A
845,Shadows,Paula Taylor,"['999, Atrévete a llamar', 'Shadows']",1983,Reparto,N/A
