nombre_peli,nombre_actxr,conocido_por,year_nacimiento,profesiones_string,premios
The Town: Ciudad de ladrones,Jeremy Renner,"['En tierra hostil', 'The Town: Ciudad de ladrones']",1971,"Reparto, Producción, Sonido",35 premios y 64 nominaciones en total
The Town: Ciudad de ladrones,Blake Lively,"['Gossip Girl', 'El secreto de Adaline']",1987,"Reparto, Producción, Dirección",8 premios y 26 nominaciones
The Town: Ciudad de ladrones,George Carroll,"['The Town: Ciudad de ladrones', 'Mátalos suavemente']",N/A,"Reparto, Guion, Música",2 premios
The Town: Ciudad de ladrones,Owen Burke,"['The Town: Ciudad de ladrones', 'Castle Rock']",N/A,Reparto,2 premios
The Town: Ciudad de ladrones,Titus Welliver,"['The Town: Ciudad de ladrones', 'Argo']",1962,"Reparto, Producción, Guion",4 premios y 3 nominaciones
Killer by Nature,Zachary Ray Sherman,"['Por mandato del cielo', 'Sensación de vivir: La nueva generación']",1984,"Reparto, Producción, Dirección",6 premios y 1 nominación
Killer by Nature,Ron Perlman,"['La mano de Dios', 'Hellboy II: El ejército dorado']",1950,"Reparto, Producción, Dirección",13 premios y 20 nominaciones en total
Killer by Nature,Armand Assante,"['Gotti', 'American Gangster']",1949,"Reparto, Producción, Especialistas",14 premios y 14 nominaciones en total
Killer by Nature,Lin Shaye,"['Insidious', 'Dead End: Atajo al infierno']",1943,"Reparto, Producción, Guion",6 premios y 8 nominaciones
Killer by Nature,Haley Hudson,"['Una pareja de tres', 'Ponte en mi lugar']",1986,"Reparto, Banda sonora",N/A
Killer by Nature,Richard Riehle,"['The Man from Earth', 'Casino']",1948,"Reparto, Producción",5 premios y 7 nominaciones
Killer by Nature,Richard Portnow,"['Trumbo: La lista negra de Hollywood', 'Hitchcock']",N/A,"Reparto, Producción, Equipos adicionales",3 premios
Killer by Nature,Svetlana Efremova,"['La flor del mal', 'Stick It']",1970,Reparto,N/A
Risen,Stuart Brennan,"['Plan Z', 'Risen']",1982,"Producción, Reparto, Guion",13 premios y 12 nominaciones
Risen,John Noble,"['El señor de los anillos: El retorno del rey', 'El señor de los anillos: Las dos torres']",1948,"Reparto, Producción, Banda sonora",10 premios y 15 nominaciones
Risen,Erik Morales,"['Risen', 'WWF SmackDown']",1976,Reparto,N/A
Risen,Shane Richie,"['Gente de barrio', 'Ratónpolis']",1964,"Reparto, Guion, Producción",12 premios y 7 nominaciones
Risen,Grainne Joughin,"['Risen', 'The Lost']",1981,"Reparto, Maquillaje","1,60 m"
Risen,Ed Eales White,"['National Treasure', 'The Crown']",1985,"Reparto, Guion, Producción",N/A
Risen,Boyd Clack,"['Risen', 'High Hopes']",1951,"Reparto, Guion",N/A
Risen,Helen Griffin,"['The Machine', 'Little White Lies']",1959,"Reparto, Guion",1 premio
A Summer Song,Elizabeth Thompson,['A Summer Song'],1985,Reparto,N/A
A Summer Song,Heather Joy Budner,"['The Big Bang', 'Flowers']",1979,"Reparto, Especialistas",N/A
A Summer Song,Andy Martinez Jr.,"['Capitán América: El Soldado de Invierno', 'American Bred']",1977,"Reparto, Producción, Guion",1 premio
A Summer Song,Katie Skipper,"['Kingdom', 'A Summer Song']",N/A,Reparto,N/A
A Summer Song,Irene B. Colletti,"['Bully', 'The Boynton Beach Bereavement Club']",1952,Reparto,N/A
A Summer Song,John Trapani,"['Último aviso', 'The 7 Swords']",N/A,Reparto,N/A
A Summer Song,Dylan Totilo,"['Framed', 'Mind the Gap']",N/A,"Cámara y electricidad, Equipos adicionales, Dirección de la segunda unidad o asistencia a dirección",N/A
A Summer Song,Bill Teck,"['One Day Since Yesterday: Peter Bogdanovich & the Lost American Film', 'Generation ñ']",N/A,"Producción, Dirección, Reparto",N/A
Kolorádó Kid,Zsolt Nagy,"['Kontroll', 'Comrade Drakulich']",1976,"Reparto, Producción",3 premios y 1 nominación
Kolorádó Kid,Lilla Sárosdi,"['Nexxt', 'A nyomozó']",1976,Reparto,N/A
Kolorádó Kid,Tibor Gáspár,"['Másnap', 'Una vida regalada (Aranyelet)']",1957,Reparto,N/A
Kolorádó Kid,Károly Hajduk,"['Akik maradtak', 'Strangled']",1979,Reparto,N/A
Kolorádó Kid,Péter Kokics,"['Love, Death & Robots', 'Zuhanórepülés']",1977,"Reparto, Efectos visuales",N/A
Kolorádó Kid,Zoltán Szabó,"['Kilakoltatás', '2005 káosz']",1974,Reparto,N/A
Kolorádó Kid,Mike Kelly,"['Marte (The Martian)', 'Hellboy II: El ejército dorado']",N/A,Reparto,N/A
Kolorádó Kid,Béla Máriáss,"['Armonías de Werckmeister', 'Rám csaj még nem volt ilyen hatással']",1966,"Reparto, Composición",N/A
Wide Blue Yonder,Brian Cox,"['Succession', 'X-Men 2']",1946,"Reparto, Producción, Dirección",20 premios y 52 nominaciones en total
Wide Blue Yonder,Lauren Bacall,"['Tener y no tener', 'El último pistolero']",1924,"Reparto, Banda sonora",23 premios y 15 nominaciones en total
Wide Blue Yonder,James Fox,"['Sherlock Holmes', 'Charlie y la fábrica de chocolate']",1939,"Reparto, Banda sonora",1 premio y 4 nominaciones en total
Wide Blue Yonder,Hege Schøyen,"['Suffløsen', 'Andre omgang']",1957,"Reparto, Guion",3 premios y 2 nominaciones
Wide Blue Yonder,Kåre Conradi,"['Uno tras otro', 'Gutta Boys']",1972,Reparto,1 nominación
Wide Blue Yonder,Ingrid Bolsø Berdal,"['Hércules', 'Fritt Vilt']",1980,"Reparto, Producción, Banda sonora",2 premios y 3 nominaciones
Wide Blue Yonder,Sverre Anker Ousdal,"['Blodsbånd', 'El príncipe de la tierra de Más allá']",1944,Reparto,4 premios
Wide Blue Yonder,Anne Ryg,"['Lille lørdag', 'Ammo']",1967,Reparto,Anne Rygh
"Surprise, Surprise",Travis Michael Holder,"['Surprise, Surprise', 'A través del tiempo']",1946,"Reparto, Guion",N/A
"Surprise, Surprise",Deborah Shelton,"['Doble cuerpo', 'Sins of the Night']",1948,"Reparto, Música, Guion",N/A
"Surprise, Surprise",John Brotherton,"['Madres forzosas', 'Fast & Furious 7']",1980,"Reparto, Producción, Sonido",N/A
"Surprise, Surprise",Lucas Elliot Eberl,"['Choose Connor', 'Daredevil']",marzo,"Dirección, Reparto, Dirección de fotografía y cámara",5 premios y 41 nominaciones
Encuentros en Nueva York,Rebecca Hall,"['Vicky Cristina Barcelona', 'The Town: Ciudad de ladrones']",1982,"Reparto, Producción, Dirección",20 premios y 89 nominaciones en total
Encuentros en Nueva York,Elizabeth Keener,"['Amigos con dinero', 'L.']",1966,"Reparto, Producción, Equipos adicionales",N/A
Encuentros en Nueva York,Elise Ivy,"['Terminator: Las crónicas de Sarah Connor', 'Take Care']",1981,"Reparto, Producción",N/A
Encuentros en Nueva York,Catherine Keener,"['Cómo ser John Malkovich', 'Truman Capote']",1959,"Reparto, Producción, Casting",17 premios y 61 nominaciones en total
Encuentros en Nueva York,Josh Pais,"['Todo un hombre', 'The Dropout: Auge y caída de Elizabeth Holmes']",junio,"Reparto, Guion, Producción",1 premio
Encuentros en Nueva York,Sarah Steele,"['Cosas que hacer antes de los 18', 'Spanglish']",1988,"Reparto, Arte, Cámara y electricidad",3 premios y 5 nominaciones
Encuentros en Nueva York,Ann Morgan Guilbert,"['Discordias a la carta', 'Encuentros en Nueva York']",1928,"Reparto, Banda sonora",1 premio y 1 nominación
Encuentros en Nueva York,Amanda Peet,"['2012', 'El amor es lo que tiene']",1972,"Reparto, Guion, Producción",2 premios y 8 nominaciones
Come Reza Ama,Julia Roberts,"['Pretty Woman', 'Erin Brockovich']",1967,"Reparto, Producción, Banda sonora",62 premios y 122 nominaciones en total
Come Reza Ama,I. Gusti Ayu Puspawati,"['Come Reza Ama', 'Bisikan Arwah Mantan']",N/A,Reparto,N/A
Come Reza Ama,Hadi Subiyanto,['Come Reza Ama'],N/A,Reparto,N/A
Come Reza Ama,Billy Crudup,"['Casi famosos', 'Watchmen']",1968,"Reparto, Producción, Banda sonora",15 premios y 22 nominaciones en total
Come Reza Ama,Viola Davis,"['Fences', 'Criadas y señoras']",1965,"Reparto, Producción, Banda sonora",121 premios y 245 nominaciones en total
Come Reza Ama,A. Jay Radcliff,"['Come Reza Ama', 'Pox']",N/A,Reparto,N/A
Come Reza Ama,Mike O'Malley,"['Atrapado en un pirado', 'El hombre perfecto']",1966,"Reparto, Producción, Guion",3 premios y 4 nominaciones en total
Come Reza Ama,Ashlie Atkinson,"['Mr. Robot', 'Infiltrado en el KKKlan']",1977,"Reparto, Guion, Producción",1 premio y 2 nominaciones
Repo,Benjamin Gourley,"['Moving McAllister', 'The Kane Files: Life of Trial']",1978,"Reparto, Guion, Dirección",N/A
Repo,Jason Mewes,"['Clerks', 'Clerks II']",1974,"Reparto, Producción, Dirección",2 premios y 2 nominaciones
Repo,Izabella Miko,"['El bar Coyote', 'Deadwood']",1981,"Reparto, Producción, Dirección",1 nominación
Repo,Lindsey McKeon,"['Salvados por la campana: La nueva generación', 'Lo que no te mata']",1982,"Reparto, Producción",6 nominaciones
Repo,Sunny Mabrey,"['Hillbilly, una elegía rural', 'Serpientes en el avión']",noviembre,"Reparto, Guion, Producción",1 premio
Repo,Patrick Muldoon,"['Starship Troopers (Las brigadas del espacio)', 'Deadlock']",1968,"Reparto, Producción, Guion",2 premios
Repo,David Quane,"['Cero en conducta', 'EDtv']",N/A,"Reparto, Producción, Equipos adicionales",N/A
Repo,Zack Ward,"['Freddy contra Jason', 'Transformers']",1970,"Reparto, Guion, Producción",2 premios
Kavod,Moran Atias,"['En tercera persona', 'Los próximos tres días']",1981,"Reparto, Producción, Banda sonora",2 premios
Kavod,Nataly Attiya,"['Lipstikka', 'Manayek']",1975,Reparto,1 premio
Kavod,Icho Avital,"['Ta Gordin', 'Himmo Melech Yerushalaim']",1960,Reparto,Etchu Avital
Kavod,Axelle Azoulay,"['Beit HaMishalot', 'Kidon']",1995,"Reparto, Producción, Equipos adicionales",N/A
Kavod,Shmil Ben Ari,"['Smicha Hashmalit Ushma Moshe', 'Meorav Yerushalmi']",1952,Reparto,4 premios y 4 nominaciones
Kavod,Shirly Brener,"['El empleado del mes', 'The Chicago 8']",1974,"Reparto, Producción, Equipos adicionales",2 premios
Kavod,Itay Buzaglo,"['Zinzana', 'Pgisha Iveret']",N/A,"Reparto, Equipos adicionales",N/A
Kavod,Alon Dahan,"['La deuda', 'Ha-E']",N/A,"Reparto, Transporte",2 nominaciones
Un pequeño cambio,Jason Bateman,"['Arrested Development', 'Zootrópolis']",1969,"Reparto, Producción, Dirección",18 premios y 92 nominaciones en total
Un pequeño cambio,Victor Pagan,"['Un pequeño cambio', 'Safe']",N/A,Reparto,N/A
Un pequeño cambio,Jennifer Aniston,"['Friends', 'Cake']",1969,"Reparto, Producción, Dirección",45 premios y 104 nominaciones en total
Un pequeño cambio,Jeff Goldblum,"['Jurassic Park (Parque Jurásico)', 'La mosca']",1952,"Reparto, Producción, Guion",17 premios y 34 nominaciones en total
Un pequeño cambio,Juliette Lewis,"['El cabo del miedo', 'Asesinos natos']",1973,"Reparto, Dirección, Producción",13 premios y 32 nominaciones en total
Un pequeño cambio,Todd Louiso,"['Alta fidelidad', 'Hello I Must Be Going']",1970,"Reparto, Dirección, Guion",1 premio y 4 nominaciones
Un pequeño cambio,Scott Elrod,"['Un pequeño cambio', 'Argo']",1975,"Reparto, Producción",N/A
Un pequeño cambio,Patrick Wilson,"['El fantasma de la ópera de Andrew Lloyd Webber', 'Hard Candy']",1973,"Reparto, Producción, Dirección",3 premios y 21 nominaciones en total
Cartas a Julieta,Amanda Seyfried,"['Los miserables', 'Chicas malas']",1985,"Reparto, Producción, Banda sonora",25 premios y 72 nominaciones en total
Cartas a Julieta,Marcia DeBonis,"['El sueño de mi vida', 'Si la cosa funciona']",1960,"Reparto, Casting, Dirección de casting",1 premio y 1 nominación
Cartas a Julieta,Gael García Bernal,"['Mozart in the Jungle', 'Diarios de motocicleta']",1978,"Reparto, Producción, Guion",39 premios y 52 nominaciones en total
Cartas a Julieta,Giordano Formenti,['Cartas a Julieta'],N/A,Reparto,N/A
Cartas a Julieta,Paolo Arvedi,['Cartas a Julieta'],N/A,Reparto,N/A
Cartas a Julieta,Dario Conti,"['Cartas a Julieta', 'Pop Black Posta']",N/A,Reparto,N/A
Cartas a Julieta,Ivana Lotito,"['Cartas a Julieta', ""Paura d'amare""]",1983,Reparto,"1,64 m"
Cartas a Julieta,Luisa Ranieri,"['Cartas a Julieta', 'Fue la mano de Dios']",1973,"Reparto, Guion",5 premios y 4 nominaciones
La verdad oculta,Rachel Weisz,"['El jardinero fiel', 'Langosta']",1970,"Reparto, Producción, Dirección",48 premios y 105 nominaciones en total
La verdad oculta,Vanessa Redgrave,"['Coriolanus', 'Expiación. Más allá de la pasión']",1937,"Reparto, Producción, Dirección",53 premios y 86 nominaciones en total
La verdad oculta,Monica Bellucci,"['Malena', 'Matrix Revolutions']",1964,"Reparto, Producción, Banda sonora",12 premios y 13 nominaciones
La verdad oculta,David Strathairn,"['Buenas noches, y buena suerte.', 'Lincoln']",1949,"Reparto, Producción, Equipos adicionales",13 premios y 49 nominaciones en total
