nombre_peli,nombre_actxr,conocido_por,year_nacimiento,profesiones_string,premios
"Glenn, the Flying Robot",Billy Boyd,"['El señor de los anillos: El retorno del rey', 'El señor de los anillos: La comunidad del anillo']",1968,"Reparto, Música, Producción",11 premios y 13 nominaciones
"Glenn, the Flying Robot",Dominic Gould,"['Double Team', 'Juegos de espía']",1964,"Reparto, Dirección, Guion",Domenique Gould
"Glenn, the Flying Robot",Gérard Depardieu,"['Cyrano de Bergerac', 'El hombre de la máscara de hierro']",1948,"Reparto, Producción, Dirección",27 premios y 37 nominaciones en total
"Glenn, the Flying Robot",Patrick Bauchau,"['La habitación del pánico', 'Pretender']",diciembre,"Reparto, Guion, Producción",1 nominación
"Glenn, the Flying Robot",Smadi Wolfman,"['Chrysalis', 'Desperate Journey']",N/A,Reparto,N/A
"Glenn, the Flying Robot",Geoffrey Carey,"['French Kiss', 'Lunas de hiel']",N/A,"Reparto, Equipos adicionales",Geoffrey L. Carey
"Glenn, the Flying Robot",Vincent Eaton,"['Inside', 'S.']",N/A,Reparto,N/A
"Glenn, the Flying Robot",Malinda Coleman,"['Glenn, the Flying Robot']",N/A,Reparto,N/A
The Waiter,Charles Durning,"['Tarde de perros', 'El final de la cuenta atrás']",1923,"Reparto, Equipos adicionales, Banda sonora",7 premios y 16 nominaciones en total
The Waiter,Jason Konopisos-Alvarez,"['Idiocracia', 'Dos colgaos muy fumaos: Fuga de Guantánamo']",N/A,"Reparto, Guion, Dirección",10 premios
The Waiter,Glenn Morshower,"['The Resident', 'Bloodline']",1959,"Reparto, Producción, Guion",3 premios y 2 nominaciones
The Waiter,Dan Lauria,"['The Spirit', 'Aquellos maravillosos años']",1947,"Reparto, Dirección, Guion",1 premio
The Waiter,Dan Braverman,"['Contrarreloj', 'The Chifferobe Kid Rides Again!']",N/A,"Reparto, Producción, Localización",N/A
The Waiter,Robert Z'Dar,"['Tango y Cash', 'Samurai Cop']",1950,"Reparto, Producción",2 premios
The Waiter,James Handy,"['Aracnofobia', 'Jumanji']",N/A,"Reparto, Producción",N/A
The Waiter,Randal Reeder,"['Deadpool 2', 'Idiocracia']",1971,"Reparto, Producción, Dirección",1 premio
Los secretos del corazón,Nicole Kidman,"['Moulin Rouge', 'Las horas']",1967,"Reparto, Producción, Música",112 premios y 258 nominaciones en total
Los secretos del corazón,Aaron Eckhart,"['El caballero oscuro', 'Gracias por fumar']",1968,"Reparto, Producción, Banda sonora",8 premios y 21 nominaciones
Los secretos del corazón,Dianne Wiest,"['Una jaula de grillos', 'Hannah y sus hermanas']",1946,"Reparto, Banda sonora",37 premios y 29 nominaciones en total
Los secretos del corazón,Miles Teller,"['Whiplash', 'Cuatro Fantásticos']",1987,"Reparto, Producción, Banda sonora",5 premios y 28 nominaciones en total
Los secretos del corazón,Tammy Blanchard,"['Into the Woods', 'La invitación']",1976,"Reparto, Banda sonora",3 premios y 13 nominaciones en total
Los secretos del corazón,Sandra Oh,"['Killing Eve', 'Entre copas']",1971,"Reparto, Producción, Guion",27 premios y 80 nominaciones en total
Los secretos del corazón,Giancarlo Esposito,"['Breaking Bad', 'Sospechosos habituales']",1958,"Música, Reparto, Producción",17 premios y 53 nominaciones en total
Los secretos del corazón,Jon Tenney,"['The Closer', 'Scandal']",1961,"Reparto, Dirección, Cámara y electricidad",1 premio y 5 nominaciones
White Knuckles,Martie Ashworth,"['White Knuckles', 'Yai Wanonabalewa: The Enemy God']",N/A,Reparto,N/A
White Knuckles,Larry Strauss,"['Devils Are Dreaming', 'El precio de la gloria']",1939,Reparto,N/A
White Knuckles,Sue Rihr,"['Al filo de la sospecha', '8 millones de maneras de morir']",1954,Reparto,Sue Gaetzman
White Knuckles,Kelly McCracken,"['White Knuckles', 'Hospital General']",N/A,"Reparto, Guion, Producción",N/A
White Knuckles,Marion Kerr,"['Mentes criminales', 'Los elegidos (Dark skies)']",julio,"Reparto, Guion, Dirección",27 premios y 7 nominaciones
White Knuckles,Don Yanan,"['Los Muppets', 'Hollywood Mouth']",1951,Reparto,N/A
White Knuckles,Karen Teliha,"['Paranormal Activity 3', 'Hollywood Mouth']",1949,Reparto,Karen Lee
White Knuckles,Clyde Tull,"['Simone', 'Cómo conocí a vuestra madre']",1946,"Reparto, Equipos adicionales",N/A
Green Zone: Distrito protegido,Igal Naor,"['Munich Games', 'Homeland']",1958,Reparto,2 premios y 1 nominación
Green Zone: Distrito protegido,Said Faraj,"['Green Zone: Distrito protegido', 'Amor a quemarropa']",1964,"Reparto, Producción, Dirección",5 premios y 2 nominaciones
Green Zone: Distrito protegido,Faycal Attougui,"['Green Zone: Distrito protegido', 'Misión: Imposible - Sentencia mortal. Parte Uno']",N/A,"Especialistas, Reparto",1 premio y 1 nominación
Green Zone: Distrito protegido,Aymen Hamdouchi,"['Green Zone: Distrito protegido', 'Máquina de guerra']",1985,"Reparto, Producción, Guion y continuidad",N/A
Green Zone: Distrito protegido,Matt Damon,"['El indomable Will Hunting', 'Marte (The Martian)']",1970,"Producción, Reparto, Guion",40 premios y 158 nominaciones en total
Green Zone: Distrito protegido,Nicoye Banks,"['Invencible', 'Green Zone: Distrito protegido']",N/A,"Reparto, Especialistas, Producción",N/A
Green Zone: Distrito protegido,Jerry Della Salla,"['Green Zone: Distrito protegido', 'For Love of a Fish']",mayo,"Reparto, Especialistas, Equipos adicionales",4 premios y 6 nominaciones
Green Zone: Distrito protegido,Sean Huze,"['Green Zone: Distrito protegido', 'En el valle de Elah']",1975,"Reparto, Guion, Producción",N/A
Cisne negro,Natalie Portman,"['Cisne negro', 'V de vendetta']",1981,"Reparto, Producción, Dirección",95 premios y 180 nominaciones en total
Cisne negro,Mila Kunis,"['Cisne negro', 'El destino de Júpiter']",1983,"Reparto, Producción, Maquillaje",14 premios y 62 nominaciones
Cisne negro,Vincent Cassel,"['Cisne negro', 'Mesrine: Parte 2. Enemigo público nº 1']",1966,"Reparto, Producción, Dirección",8 premios y 27 nominaciones
Cisne negro,Barbara Hershey,"['Cisne negro', 'Hannah y sus hermanas']",1948,"Reparto, Banda sonora",15 premios y 23 nominaciones en total
Cisne negro,Winona Ryder,"['Mujercitas', 'Sirenas']",1971,"Reparto, Producción, Dirección",19 premios y 55 nominaciones en total
Cisne negro,Benjamin Millepied,"['Cisne negro', 'Carmen']",1977,"Dirección, Equipos adicionales, Producción",4 nominaciones
Cisne negro,Ksenia Solo,"['Cisne negro', 'La reina de las sombras']",N/A,"Reparto, Producción, Dirección",4 premios y 2 nominaciones
Cisne negro,Kristina Anapau,"['Cisne negro', 'True Blood']",1979,"Reparto, Producción, Guion",1 premio
El demonio bajo la piel,Casey Affleck,"['Manchester frente al mar', 'La luz de mi vida']",1975,"Reparto, Dirección, Guion",71 premios y 63 nominaciones en total
El demonio bajo la piel,Kate Hudson,"['Casi famosos', 'Cómo perder a un chico en 10 días']",1979,"Reparto, Producción, Dirección",18 premios y 39 nominaciones en total
El demonio bajo la piel,Jessica Alba,"['Los 4 Fantásticos', 'Sin City: Ciudad del pecado']",1981,"Reparto, Producción, Dirección de fotografía y cámara",18 premios y 46 nominaciones
El demonio bajo la piel,Ned Beatty,"['Network, un mundo implacable', 'Defensa']",1937,"Reparto, Banda sonora",1 premio y 6 nominaciones en total
El demonio bajo la piel,Elias Koteas,"['La delgada línea roja', 'Shooter: El tirador']",1961,"Reparto, Producción",5 premios y 8 nominaciones
El demonio bajo la piel,Tom Bower,"['Lucky Hank', 'Senior Love Triangle']",1938,"Reparto, Producción",1 premio y 2 nominaciones
El demonio bajo la piel,Simon Baker,"['Margin Call', 'El mentalista']",1969,"Reparto, Producción, Dirección",10 premios y 26 nominaciones en total
El demonio bajo la piel,Bill Pullman,"['Independence Day', 'Independence Day: Contraataque']",1953,"Reparto, Dirección, Producción",7 premios y 7 nominaciones
Robin Hood,Russell Crowe,"['Los miserables', 'Gladiator (El gladiador)']",1964,"Reparto, Producción, Dirección",37 premios y 84 nominaciones en total
Robin Hood,Cate Blanchett,"['Carol', 'Blue Jasmine']",1969,"Reparto, Producción, Guion",217 premios y 288 nominaciones en total
Robin Hood,Max von Sydow,"['Flash Gordon', 'El séptimo sello']",1929,"Reparto, Equipos adicionales, Dirección",28 premios y 25 nominaciones en total
Robin Hood,William Hurt,"['Una historia de violencia', 'Perdidos en el espacio']",1950,"Reparto, Producción",17 premios y 30 nominaciones en total
Robin Hood,Mark Strong,"['1917', '¡Shazam!']",1963,"Reparto, Producción",3 premios y 11 nominaciones en total
Robin Hood,Oscar Isaac,"['Ex_Machina', 'A propósito de Llewyn Davis']",1979,"Reparto, Producción, Banda sonora",33 premios y 73 nominaciones en total
Robin Hood,Danny Huston,"['El jardinero fiel', '21 gramos']",1962,"Reparto, Dirección, Cámara y electricidad",3 premios y 14 nominaciones
Robin Hood,Eileen Atkins,"['Gosford Park', 'Cold Mountain']",1934,"Reparto, Guion, Equipos adicionales",10 premios y 13 nominaciones en total
Heart of Now,Marion Kerr,"['Mentes criminales', 'Los elegidos (Dark skies)']",julio,"Reparto, Guion, Dirección",27 premios y 7 nominaciones
Heart of Now,Kelly McCracken,"['White Knuckles', 'Hospital General']",N/A,"Reparto, Guion, Producción",N/A
Heart of Now,Jason Lopez,"[""Mapplethorpe: The Director's Cut"", 'P.T.S.D']",N/A,Reparto,N/A
Heart of Now,Dusty Sorg,"['Freeway Killer', 'John Carter']",1979,"Reparto, Guion",1 nominación
Heart of Now,Mary Elise Hayden,"['Pop Star: Revuelo en las aulas', '10 razones para odiarte']",1985,"Reparto, Guion",N/A
Heart of Now,Jonathan Erickson Eisley,"['Runner', 'No te preocupes, no llegará lejos a pie']",N/A,"Reparto, Especialistas, Equipos adicionales",1 premio y 1 nominación
Heart of Now,Gina Gian,"['Alvarez & Cruz', 'Foolish the Wise']",N/A,Reparto,N/A
Heart of Now,Alison Haislip,"['Attack of the Show!', 'Battleground']",febrero,"Reparto, Producción, Guion",1 nominación
Dom Solntsa,Svetlana Ivanova,"['Legenda No. 17', 'Franz + Polina']",1985,Reparto,4 premios y 5 nominaciones
Dom Solntsa,Stanislav Ryadinskiy,"['Pechorin', 'El rompehielos']",1981,Reparto,Stas Ryadinskiy
Dom Solntsa,Darya Moroz,"['El tonto', 'Zhivi i pomni']",1983,"Reparto, Producción, Guion",4 premios y 7 nominaciones
Dom Solntsa,Ivan Stebunov,"['Stiker', 'Posledniy uik-end']",1981,"Reparto, Banda sonora",7 de junio de 2008 - abril de 2010 (divorciado)
Dom Solntsa,Moises Blanko,['Dom Solntsa'],N/A,Reparto,N/A
Dom Solntsa,Kirill Polikashin,['Dom Solntsa'],N/A,Reparto,N/A
Dom Solntsa,Aleksey Gorbunov,"['12', 'Sherlok Kholms']",1961,"Reparto, Guion, Producción",3 premios y 2 nominaciones
Dom Solntsa,Olga Blok-Mirimskaya,"['Boginya: kak ya polyubila', 'Prazdnik']",N/A,Reparto,1 premio
The Fighter,Mark Wahlberg,"['The Fighter', 'Boogie Nights']",1971,"Producción, Reparto, Composición",24 premios y 83 nominaciones en total
The Fighter,Christian Bale,"['El caballero oscuro', 'Batman Begins']",1974,"Reparto, Producción, Edición",83 premios y 133 nominaciones en total
The Fighter,Amy Adams,"['La llegada', 'Encantada: La historia de Giselle']",1974,"Reparto, Producción, Equipo ejecutivo",76 premios y 248 nominaciones en total
The Fighter,Melissa Leo,"['The Fighter', 'Prisioneros']",1960,"Reparto, Producción, Equipo ejecutivo",51 premios y 77 nominaciones en total
The Fighter,Mickey O'Keefe,"['The Fighter', 'La gran estafa americana']",1948,Reparto,N/A
The Fighter,Jack McGee,"['The Fighter', 'Gangster Squad. Brigada de élite']",1949,Reparto,3 premios y 6 nominaciones
The Fighter,Melissa McMeekin,"['The Fighter', 'La gran estafa americana']",1972,"Reparto, Producción",2 premios
The Fighter,Bianca Hunter,"['The Fighter', 'Teniente corrupto']",1969,Reparto,N/A
La conspiración,James McAvoy,"['Filth, el sucio', 'Múltiple']",1979,"Reparto, Dirección, Producción",22 premios y 41 nominaciones en total
La conspiración,Robin Wright,"['Forrest Gump', 'Beowulf']",1966,"Reparto, Producción, Dirección",18 premios y 64 nominaciones en total
La conspiración,Kevin Kline,"['Wild Wild West', 'Un pez llamado Wanda']",1947,"Reparto, Dirección, Producción",9 premios y 35 nominaciones en total
La conspiración,Evan Rachel Wood,"['Thirteen', 'Si la cosa funciona']",1987,"Reparto, Dirección, Guion",16 premios y 49 nominaciones en total
La conspiración,Tom Wilkinson,"['Michael Clayton', 'En la habitación']",1948,"Reparto, Banda sonora",25 premios y 75 nominaciones en total
La conspiración,Justin Long,"['La jungla 4.0', 'Jeepers Creepers']",1978,"Reparto, Producción, Guion",3 premios y 12 nominaciones
La conspiración,Danny Huston,"['El jardinero fiel', '21 gramos']",1962,"Reparto, Dirección, Cámara y electricidad",3 premios y 14 nominaciones
La conspiración,James Badge Dale,"['Infiltrados', '13 horas: Los soldados secretos de Bengasi']",1978,Reparto,3 premios y 9 nominaciones
The Chosen One,Steve Buscemi,"['Fargo', 'Ghost World']",1957,"Reparto, Dirección, Producción",31 premios y 71 nominaciones en total
The Chosen One,Holland Taylor,"['Una rubia muy legal', 'El día de la boda']",1943,"Reparto, Guion, Banda sonora",4 premios y 9 nominaciones en total
The Chosen One,Rob Schneider,"['Gigoló', '¡Este cuerpo no es el mío!']",1963,"Reparto, Guion, Producción",1 premio y 17 nominaciones en total
The Chosen One,Samantha Smith,"['Sobrenatural', 'Transformers']",noviembre,"Reparto, Agente de talentos, Equipo ejecutivo",N/A
The Chosen One,Peter Riegert,"['La máscara', 'Desmadre a la americana']",1947,"Reparto, Dirección, Guion",5 premios y 3 nominaciones en total
The Chosen One,Marcus Giamatti,"['La juez Amy', 'Volando a ciegas']",1961,Reparto,N/A
The Chosen One,George Dzundza,"['Marea roja', 'Instinto básico']",1945,"Reparto, Dirección de la segunda unidad o asistencia a dirección, Banda sonora",2 premios y 1 nominación
The Chosen One,Jack McGee,"['The Fighter', 'Gangster Squad. Brigada de élite']",1949,Reparto,3 premios y 6 nominaciones
La razón,Francisco Pizarro Saenz de Urtury,"['Qué pena tu vida', 'Tierra de sangre']",1978,Reparto,N/A
La razón,Manuela Krumm,"['La razón', 'Voto de silencio']",1982,Reparto,N/A
La razón,Héctor Díaz Peña,"['La razón', 'Adbekunkus 181']",N/A,Reparto,N/A
La razón,Mucio Manchini,"['Séptimo', 'Hermanos y detectives']",N/A,Reparto,N/A
La razón,Milita Brandon,"['El mucamo de la niña', 'Donde mueren las palabras']",1930,Reparto,N/A
La razón,Sumaia O.,"['La razón', 'Tesoro mío']",1976,"Reparto, Música, Producción",N/A
La razón,Fernando List,['La razón'],N/A,Reparto,N/A
La razón,Francisco Suárez,"['Hoy', 'Fantasma de Buenos Aires']",N/A,Reparto,N/A
The Land of the Astronauts,David Arquette,"['Scream 3', 'Nunca me han besado']",1971,"Producción, Reparto, Dirección",8 premios y 6 nominaciones
The Land of the Astronauts,Bijou Phillips,"['Casi famosos', 'Bully']",1980,"Reparto, Vestuario, Banda sonora",1 nominación
The Land of the Astronauts,Vivica A. Fox,"['Independence Day', 'Kill Bill: Volumen 1']",1964,"Reparto, Producción, Dirección",8 premios y 20 nominaciones
The Land of the Astronauts,Nic Bishop,"['Truth Be Told', 'Snowfall']",septiembre,"Reparto, Producción",N/A
The Land of the Astronauts,Carla Ortiz,"['Xibalba', 'Voice of Syria']",1978,"Reparto, Producción, Dirección",N/A
The Land of the Astronauts,Lin Shaye,"['Insidious', 'Dead End: Atajo al infierno']",1943,"Reparto, Producción, Guion",6 premios y 8 nominaciones
The Land of the Astronauts,Patrick Fabian,"['El último exorcismo', 'Better Call Saul']",diciembre,"Reparto, Producción",3 premios y 5 nominaciones
The Land of the Astronauts,Tom Bower,"['Lucky Hank', 'Senior Love Triangle']",1938,"Reparto, Producción",1 premio y 2 nominaciones
Sinatra Club,Jason Gedrick,"['Luck', 'Bosch']",1965,"Reparto, Dirección, Guion",2 premios y 3 nominaciones
Sinatra Club,Danny Nucci,"['Titanic', 'Marea roja']",1968,"Reparto, Dirección, Guion",1 premio y 5 nominaciones
Sinatra Club,Mark Belasco,"['Los Soprano', 'Sinatra Club']",diciembre,"Equipo ejecutivo, Producción, Reparto",1 premio
Sinatra Club,Michael Nouri,"['Vigilante', 'Yellowstone']",1945,Reparto,1 premio y 2 nominaciones
Sinatra Club,Ellen Hollman,"['Matrix Resurrections', 'John Wick 4']",1983,"Reparto, Producción, Guion",1 premio y 3 nominaciones
Sinatra Club,Andy Davoli,"['Bienvenidos a Collinwood', 'La otra cara del crimen']",1973,"Reparto, Guion, Producción",N/A
Sinatra Club,Joey Lawrence,"['Blossom', 'Oliver y su pandilla']",1976,"Reparto, Música, Producción",2 premios y 9 nominaciones
Sinatra Club,Jeremy Luke,"['Don Jon', 'Mob City (Serie de TV)']",1978,"Reparto, Producción, Guion",1 premio
Caza a la espía,Naomi Watts,"['Mulholland Drive', 'King Kong']",1968,"Reparto, Producción, Banda sonora",60 premios y 96 nominaciones en total
Caza a la espía,Sonya Davison,['Caza a la espía'],N/A,Reparto,"1,70 m"
Caza a la espía,Vanessa Chong,"['Caza a la espía', 'Kecoh Betul']",N/A,Reparto,"1,65 m"
Caza a la espía,Anand Tiwari,"['Slumdog Millionaire', 'Caza a la espía']",1983,"Producción, Reparto, Dirección",2 nominaciones
Caza a la espía,Stephanie Chai,['Caza a la espía'],N/A,Reparto,N/A
Caza a la espía,Sean Penn,"['Mystic River', '21 gramos']",1960,"Reparto, Producción, Dirección",75 premios y 111 nominaciones en total
Caza a la espía,Ty Burrell,"['Modern Family', 'El increíble Hulk']",1967,"Reparto, Producción, Guion",19 premios y 47 nominaciones en total
Caza a la espía,Jessica Hecht,"['Si la cosa funciona', 'Friends']",1965,"Reparto, Banda sonora",1 premio y 1 nominación en total
A Dance for Grace,Orville Matherson,"['A Dance for Grace', 'Behind Closed Doors (A Jamaican Story 2021)']",N/A,"Producción, Reparto, Dirección",N/A
A Dance for Grace,Anand Tiwari,"['Slumdog Millionaire', 'Caza a la espía']",1983,"Producción, Reparto, Dirección",2 nominaciones
A Dance for Grace,Stephanie Chai,['Caza a la espía'],N/A,Reparto,N/A
A Dance for Grace,Sean Penn,"['Mystic River', '21 gramos']",1960,"Reparto, Producción, Dirección",75 premios y 111 nominaciones en total
A Dance for Grace,Ty Burrell,"['Modern Family', 'El increíble Hulk']",1967,"Reparto, Producción, Guion",19 premios y 47 nominaciones en total
A Dance for Grace,Jessica Hecht,"['Si la cosa funciona', 'Friends']",1965,"Reparto, Banda sonora",1 premio y 1 nominación en total
Múltiples sarcasmos,Timothy Hutton,"['Gente corriente', 'Las reglas del juego']",1960,"Reparto, Producción, Dirección",9 premios y 17 nominaciones en total
Múltiples sarcasmos,Mira Sorvino,"['Poderosa Afrodita', 'Asesinos de reemplazo']",1967,"Reparto, Producción, Banda sonora",18 premios y 22 nominaciones en total
Múltiples sarcasmos,Dana Delany,"['Playa de China', 'Tombstone: La leyenda de Wyatt Earp']",marzo,"Reparto, Producción, Banda sonora",7 premios y 11 nominaciones en total
Múltiples sarcasmos,Mario Van Peebles,"[""How to Get the Man's Foot Outta Your Ass"", 'El sargento de hierro']",1957,"Reparto, Dirección, Producción",7 premios y 14 nominaciones
Múltiples sarcasmos,India Ennenga,"['Treme', 'El irlandés']",1994,"Reparto, Guion, Banda sonora",1 premio
Múltiples sarcasmos,Laila Robins,"['Mejor solo que mal acompañado', 'Espías desde el cielo']",1959,Reparto,1 nominación
Múltiples sarcasmos,Stockard Channing,"['Prácticamente magia', 'Grease']",1944,"Reparto, Banda sonora",15 premios y 40 nominaciones en total
Múltiples sarcasmos,Nadia Dassouki,"['The Humdrummer', 'Múltiples sarcasmos']",N/A,Reparto,N/A
A Flat,Jimmy Shergill,"['A Wednesday', 'Mi nombre es Khan']",1970,"Reparto, Equipos adicionales, Producción",5 premios y 19 nominaciones
A Flat,Sanjay Suri,"['Raazi', 'Bas Ek Pal']",1971,"Reparto, Producción, Guion",2 premios y 6 nominaciones
A Flat,Hazel Croney,"['MP3: Mera Pehla Pehla Pyaar', 'Janasheen']",N/A,Reparto,Hezal Crony/Hazel
A Flat,Kaveri Jha,"['Hijack', 'Saleem']",N/A,Reparto,Kaveri
A Flat,Sachin Khedekar,"['13B: Fear Has a New Address', 'Agneepath']",1965,"Reparto, Equipos adicionales",2 premios y 4 nominaciones
A Flat,Nassar Abdulla,"['Main Hoon Na', 'Om Shanti Om']",N/A,"Reparto, Localización, Dirección de producción",Naseer Abdulla
A Flat,Bhagwan Tiwari,"['A Wednesday', 'Raees']",N/A,Reparto,"1,73 m"
A Flat,Saurabh Dubey,"['The Legend of Bhagat Singh', 'Tere Naam']",N/A,Reparto,Saurabh Dube
Querido John,Channing Tatum,"['Infiltrados en clase', 'Asalto al poder']",1980,"Reparto, Producción, Dirección",22 premios y 62 nominaciones
Querido John,Amanda Seyfried,"['Los miserables', 'Chicas malas']",1985,"Reparto, Producción, Banda sonora",25 premios y 72 nominaciones en total
Querido John,Richard Jenkins,"['La forma del agua', 'The visitor']",1947,"Reparto, Producción, Banda sonora",16 premios y 72 nominaciones en total
Querido John,Henry Thomas,"['E.T. El extraterrestre', '11:14 Destino fatal']",1971,"Reparto, Producción, Composición",3 premios y 9 nominaciones en total
Querido John,D.J. Cotrona,"['G.I. Joe: La venganza', '¡Shazam!']",1980,"Reparto, Guion, Producción",N/A
Querido John,Cullen Moss,"['Un lugar donde refugiarse', 'Querido John']",1975,"Reparto, Guion, Arte",1 premio y 1 nominación
Querido John,Gavin McCulley,"['Querido John', 'Letters from Home']",N/A,"Equipos adicionales, Reparto",N/A
Querido John,Jose Lucena Jr.,"['Querido John', 'Sex Ed: El maestro aprendiz']",N/A,Reparto,N/A
El experimento,Adrien Brody,"['El pianista', 'El gran hotel Budapest']",1973,"Reparto, Producción, Composición",16 premios y 42 nominaciones en total
El experimento,Forest Whitaker,"['El último rey de Escocia', 'El mayordomo']",1961,"Reparto, Producción, Dirección",61 premios y 77 nominaciones en total
El experimento,Cam Gigandet,"['Crepúsculo', 'Rompiendo las reglas']",1982,"Reparto, Banda sonora",5 premios y 2 nominaciones
El experimento,Clifton Collins Jr.,"['Star Trek', 'Truman Capote']",1970,"Reparto, Producción, Dirección",9 premios y 14 nominaciones en total
El experimento,Ethan Cohn,"['Cry Wolf', 'Las chicas Gilmore']",1979,Reparto,N/A
El experimento,Fisher Stevens,"['Cortocircuito', 'Hackers Piratas informáticos']",1963,"Reparto, Producción, Dirección",10 premios y 19 nominaciones en total
El experimento,Travis Fimmel,"['Warcraft: El origen', 'Vikingos']",1979,"Reparto, Producción",4 nominaciones
El experimento,David Banner,"['Black Snake Moan', 'Footloose']",N/A,"Reparto, Composición, Producción",1 nominación
Bibliothèque Pascal,Orsolya Török-Illyés,"['Ernelláék Farkaséknál', 'A rossz árnyék']",1977,"Reparto, Producción, Guion",1 premio y 1 nominación
Bibliothèque Pascal,Oana Pellea,"['Hijos de los hombres', 'Vulpe - vânator']",1962,Reparto,1 premio y 1 nominación
Bibliothèque Pascal,Razvan Vasilescu,"['Baieti buni', ""California Dreamin'""]",1954,"Reparto, Diseño de vestuario",2 premios y 2 nominaciones
Bibliothèque Pascal,Andi Vasluianu,"['Hârtia va fi albastra', 'Bucuresti-Wien, 8-15']",1974,Reparto,3 premios y 3 nominaciones
Bibliothèque Pascal,Shamgar Amram,"['Bibliothèque Pascal', 'The Gambler']",N/A,"Reparto, Banda sonora",N/A
Bibliothèque Pascal,Lujza Hajdu,"['Melegvizek országa', 'Békeidõ']",N/A,"Reparto, Sonido, Equipos adicionales",N/A
Bibliothèque Pascal,Ion Sapdaru,"['4 meses, 3 semanas, 2 días', '12:08 al este de Bucarest']",1961,Reparto,N/A
Bibliothèque Pascal,Mihai Constantin,"['Si quiero silbar, silbo', ""Liceenii Rock 'n' Roll""]",1964,Reparto,N/A
Opal,Nayeli Adorador-Knudsen,['Opal'],N/A,Reparto,N/A
Opal,George Maguire,"['Por trece razones', 'Generations']",1946,"Reparto, Producción",2 premios
Opal,Gabriel Marin,"['Ley y orden: Unidad de Víctimas Especiales', 'Succession']",N/A,Reparto,N/A
Opal,Carrie Paff,"['El viaje de Arlo', 'Buscando a Dory']",1971,"Reparto, Vestuario, Equipos adicionales","1,73 m"
Opal,Jonathan Leveck,"['Fanny, Annie & Danny', 'Monster']",N/A,"Reparto, Producción, Guion","1,83 m"
Opal,Kevin Rolston,"['Subdued', 'Down That Road and Back']",N/A,Reparto,N/A
Opal,Paul Whitworth,"['Before the Thunder', 'Opal']",N/A,Reparto,N/A
The Steamroom,Muse Watson,"['Navy: Investigación criminal', 'Prison Break']",1948,"Reparto, Producción, Banda sonora",1 premio y 2 nominaciones
The Steamroom,David Mattey,"['Better Call Saul', 'Hancock']",1969,"Reparto, Especialistas, Efectos visuales",1 premio y 1 nominación
The Steamroom,Brian Patrick Collins,"['The Boys', 'Ejército de los muertos']",N/A,"Especialistas, Reparto",5 nominaciones
The Steamroom,Morgan Fairchild,"['Friends', 'Extraña seducción']",1950,"Reparto, Producción, Equipos adicionales",6 nominaciones en total
The Steamroom,Colin Follenweider,"['Vengadores: Endgame', 'X-Men: Días del futuro pasado']",N/A,"Especialistas, Reparto, Dirección",1 premio y 8 nominaciones
The Steamroom,Karina Logue,"['Cuando llama un extraño', 'Minority Report']",1966,Reparto,N/A
The Steamroom,Shaun W. Loeser,"['Hermanos por pelotas', '9 Shades']",N/A,"Reparto, Especialistas, Guion",N/A
The Steamroom,Stacy Jorgensen,"['Color Out of Space', 'Daniel no es real']",N/A,"Reparto, Producción, Guion",N/A
Love Sick Diaries,Chris Vent,"['Jennifer', 'Love Sick Diaries']",N/A,Reparto,N/A
Love Sick Diaries,Maggie Hai-Uyen,"['Gyonshi', 'Love Sick Diaries']",1982,"Reparto, Producción",N/A
Love Sick Diaries,James Russo,"['Not a Stranger', 'Django desencadenado']",1953,"Reparto, Guion, Dirección",2 premios y 2 nominaciones
Love Sick Diaries,West Liang,"['Big Sky', 'Samurái de ojos azules']",N/A,"Reparto, Guion, Dirección",9 premios y 5 nominaciones
Love Sick Diaries,Julia Ling,"['Tactical Girl', 'Bonds of Brotherhood']",1983,"Reparto, Producción, Guion",1 premio
Love Sick Diaries,Kaila Yu,"['A todo gas: Tokyo Race', 'Dark Blue']",1979,"Reparto, Composición, Música",Sasha Lee
Love Sick Diaries,Tara Platt,"['Spider-Man', 'Whatta Lark']",1978,"Reparto, Producción, Guion",1 premio y 12 nominaciones
Love Sick Diaries,Malana Lea,"['Pacific Rim', 'Objetivo: La Casa Blanca']",1978,"Reparto, Equipos adicionales, Casting",N/A
Prime of Your Life,Ryan Donowho,"['Héroes imaginarios', 'Flores rotas']",1980,"Reparto, Producción, Composición",3 premios
Prime of Your Life,Brett Rice,"['Sully', 'Super 8']",1954,Reparto,1 nominación
Prime of Your Life,Jim R. Coleman,"['Instinto', 'American Gangster']",N/A,"Reparto, Producción, Guion",N/A
Prime of Your Life,Brent Harvey,"['Struggleing', 'Natural Vice']",N/A,"Reparto, Dirección, Guion",5 premios y 1 nominación
Prime of Your Life,Nicole Abisinio,"['The Investigator', 'Hasta el último hombre (Hacksaw Ridge)']",N/A,"Reparto, Producción, Dirección",1 nominación
Prime of Your Life,Georgia Chris,"['100 Tears', 'The Quarter Lifers']",N/A,"Reparto, Producción, Guion",N/A
Prime of Your Life,Kibwe Dorsey,"[""The King's Disciple"", 'An Encounter with the Messiah']",1974,"Reparto, Producción, Guion",N/A
Prime of Your Life,Mike Agresta,"['Exit 727', 'Son of Morning']",1952,"Reparto, Producción, Dirección",Michael Agresta
