,nombre_peli,nombre_actxr,conocido_por,year_nacimiento,profesiones_string,premios
438,The Korean Girl,John Crann,"['The Northend', ""Men's Affair""]",N/A,"Reparto, Dirección, Guion",N/A
439,The Korean Girl,Rob Dama,"['The Korean Girl', 'Jux']",N/A,Reparto,N/A
440,The Korean Girl,Manny Galan,"['Ley y orden: Unidad de Víctimas Especiales', 'The Equalizer']",N/A,Reparto,N/A
441,The Korean Girl,Christopher LaPorte,"['The Korean Girl', 'Bul*$h!t Walks']",N/A,Reparto,N/A
442,The Korean Girl,Da-hae Lee,"['Veteran. Por encima de la ley', 'The Korean Girl']",N/A,Reparto,N/A
443,Fort Apache,Josh Salatin,"['Amor a segunda vista', 'Zoo']",N/A,Reparto,N/A
444,Fort Apache,Hale Lytle,"[""Don't Come Back from the Moon"", 'Killer']",2001,Reparto,N/A
445,Fort Apache,Lindsay Burdge,"['Thirst Street', 'The Midnight Swim']",1984,"Reparto, Dirección de casting, Guion",3 premios y 1 nominación
446,Fort Apache,Michael Kulukundis,['Fort Apache'],N/A,Reparto,N/A
447,Fort Apache,Fayelyn Bilodeau,"['El mentalista', 'Bajo su dominio']",N/A,Reparto,N/A
448,Fort Apache,Sally Sockwell,"['Doris & The Intern', 'Alamo Bay (La bahía del odio)']",N/A,Reparto,N/A
449,Speed Demon,Matthew Ziff,"['Treachery', 'The Martial Arts Kid']",1991,"Reparto, Producción, Especialistas",3 premios y 1 nominación
450,Speed Demon,Michael Kulukundis,['Fort Apache'],N/A,Reparto,N/A
451,Speed Demon,Fayelyn Bilodeau,"['El mentalista', 'Bajo su dominio']",N/A,Reparto,N/A
452,Speed Demon,Sally Sockwell,"['Doris & The Intern', 'Alamo Bay (La bahía del odio)']",N/A,Reparto,N/A
453,Speed Demon,Connor Hurley,"['The Naturalist', 'Skook']",N/A,"Edición, Producción, Dirección",N/A
454,The Flying Lesson,Jessica Blake,"['Prancer: A Christmas Tale', 'Fearfully Made']",N/A,"Reparto, Producción, Cámara y electricidad",N/A
455,The Flying Lesson,Richard J. Fletcher,['The Flying Lesson'],N/A,Reparto,N/A
456,The Flying Lesson,Joel Quinn,"['Desmembrados', 'London to Brighton']",N/A,"Reparto, Equipos adicionales",N/A
457,Historias Breves VII: En carne viva,Mariano Llinás,"['Argentina, 1985', 'Historias extraordinarias']",1975,"Guion, Producción, Dirección",N/A
458,Little Man of Steel,Kyle Bares,"['Ley y orden: Unidad de Víctimas Especiales', 'Little Man of Steel']",N/A,Reparto,N/A
459,Little Man of Steel,Weston Blakesley,"['El coleccionista de amantes', 'Pleasantville']",N/A,Reparto,Weston J. Blakesley
460,Little Man of Steel,Molly Callinan,"['Chicago P.D.', 'Signature Move']",N/A,Reparto,N/A
461,The Mission,Jeff Anderson,['The Mission'],N/A,Reparto,N/A
462,The Mission,Matthew Blood-Smyth,"['La chica de la limpieza', 'Sangre en los labios']",N/A,Reparto,Matthew Blood-Smythe
463,The Mission,Jason Coviello,"['Stranger Things', 'Yellowstone']",N/A,"Reparto, Especialistas, Dirección",N/A
464,The Mission,Graham Emmons,"['An American Terror', 'Love & Irony']",N/A,Reparto,N/A
465,The Mission,Austin Jorgensen,"['Blue Hope', 'The Mission']",N/A,"Reparto, Especialistas",N/A
466,The Mission,Tyler Laracca,"['Wind River', 'Marvels']",N/A,"Reparto, Dirección, Guion",N/A
467,The Mission,Dean Satriano,"['Déjame entrar', 'Frank']",N/A,Reparto,N/A
468,Young Guns,Roxanne Albee,"['Mannix', 'Little Pet']",1948,"Reparto, Equipos adicionales","1 de enero de 1971 - 1 de enero de 2006 (su muerte, 2 niños)"
469,Young Guns,Shirley Burns,"['Trust Me', 'Young Guns']",N/A,Reparto,"1,68 m"
470,Young Guns,Zachary Dean,['Young Guns'],N/A,Reparto,N/A
471,Young Guns,Hunter Fischer,"['Hickok el pistolero', 'American Violence']",N/A,Reparto,1 premio y 5 nominaciones
472,Young Guns,Saad N. Haddad,"['Matchbox', 'Young Guns']",N/A,"Composición, Reparto",N/A
473,Young Guns,Iris Karina,"['Elton John: Tiny Dancer', 'The Vehicle']",N/A,"Reparto, Sonido, Edición",N/A
474,Young Guns,Geoffrey Mogilner,"['Young Guns', 'Mortal Kombat vs. DC Universe']",N/A,Reparto,N/A
