,nombre_peli,nombre_actxr,conocido_por,year_nacimiento,profesiones_string,premios
0,El chico del periódico,Zac Efron,"['High School Musical 3: Fin de curso', '17 otra vez']",1987,"Reparto, Producción, Banda sonora",N/A
1,El chico del periódico,Matthew McConaughey,"['Interstellar', 'Dallas Buyers Club']",1969,"Reparto, Producción, Dirección",N/A
2,El chico del periódico,Nicole Kidman,"['Moulin Rouge', 'Las horas']",1967,"Reparto, Producción, Música",N/A
3,El chico del periódico,John Cusack,"['Un asesino algo especial', 'Alta fidelidad']",1966,"Reparto, Producción, Guion",8 premios y 21 nominaciones en total
4,El chico del periódico,David Oyelowo,"['Hombres de ley: Bass Reeves', 'El después']",1976,"Reparto, Producción, Dirección",19 premios y 51 nominaciones en total
5,El chico del periódico,Scott Glenn,"['La caza del Octubre Rojo', 'El legado de Bourne']",1939,"Reparto, Producción, Especialistas",1 nominación
6,El chico del periódico,Ned Bellamy,"['Blonde', 'Crepúsculo']",1957,"Reparto, Dirección, Guion",N/A
7,El chico del periódico,Nealla Gordon,"['Precious', 'El mayordomo']",N/A,Reparto,N/A
8,House Arrest,Aki Aleong,"[""Chinaman's Chance: America's Other Slaves"", 'Superhero Movie']",1934,"Reparto, Producción, Dirección",81 premios
9,House Arrest,Chico Benymon,"['Half & Half', 'Ali']",1974,"Reparto, Producción, Dirección",3 nominaciones
10,House Arrest,Cory Blevins,"['Get Shorty', 'Recién llegados']",abril,"Reparto, Guion, Producción",3 premios
11,House Arrest,Shelli Boone,"['Saints & Sinners', 'Crossover']",N/A,"Reparto, Equipos adicionales, Dirección de la segunda unidad o asistencia a dirección",N/A
12,House Arrest,Olivia Brown,"['Tira a mamá del tren', 'Límite: 48 horas']",1960,"Reparto, Banda sonora",N/A
13,House Arrest,Irving Caesar,['House Arrest'],N/A,Reparto,N/A
14,House Arrest,Franco Castan,"['Plan en familia', 'Cobra Kai']",agosto,"Reparto, Producción, Dirección",N/A
15,House Arrest,Ron Chevalier,"['Rise of the Empire', 'Portal Keepers']",1959,"Reparto, Producción, Equipo ejecutivo","1,80 m"
16,Three Grams of a Dream,Peng Jia Ye,['Three Grams of a Dream'],N/A,Reparto,N/A
17,Three Grams of a Dream,Ye Xian Jie,['Three Grams of a Dream'],N/A,Reparto,N/A
18,Three Grams of a Dream,Danni Wang,['Three Grams of a Dream'],N/A,"Reparto, Maquillaje",N/A
19,Three Grams of a Dream,Peng Cheng Chi,['Three Grams of a Dream'],N/A,Reparto,N/A
20,Three Grams of a Dream,Chen Jing Long,['Three Grams of a Dream'],N/A,Reparto,N/A
21,Three Grams of a Dream,Peng Cheng Zhen,['Three Grams of a Dream'],N/A,Reparto,N/A
22,Three Grams of a Dream,Li Jin Lian,['Three Grams of a Dream'],N/A,Reparto,N/A
23,Three Grams of a Dream,Yao Bao Jin,['Three Grams of a Dream'],N/A,Reparto,N/A
24,Charlie,Benjamin Arthur,"['Nadie es perfecto', 'Barbie']",N/A,"Reparto, Guion, Equipo ejecutivo",3 premios y 3 nominaciones
25,Charlie,Nik Markovina,"['Charlie', 'The Tomorrow People']",N/A,"Reparto, Producción, Cámara y electricidad",N/A
26,Charlie,Dan Payne,"['Watchmen', 'Mulligans']",1972,"Reparto, Especialistas, Efectos visuales",2 premios y 3 nominaciones
27,Charlie,Benjamin Ayres,"['Saving Hope', 'JPod']",enero,"Reparto, Guion, Dirección",3 nominaciones
28,Charlie,Lucas McCann,"['Todas contra él', 'Fringe (Al límite)']",N/A,Reparto,N/A
29,Charlie,Tyler Hazelwood,"['Painkiller Jane', 'Batalla en Seattle']",N/A,Reparto,N/A
30,Charlie,Jared Keeso,"['Letterkenny', 'Elysium']",1984,"Reparto, Guion, Producción",12 premios y 21 nominaciones
31,Charlie,Rogan Christopher,"['Unidas por una traición', 'Expediente X']",N/A,"Reparto, Guion, Dirección",4 nominaciones
32,Au secours,Fortuné Bateza,"['Au secours', ""Entre le marteau et l'enclume""]",N/A,Reparto,N/A
33,Au secours,Bénédicte Bikindou,['Au secours'],N/A,Reparto,N/A
34,Saving America's Horses: A Nation Betrayed,Katia Louise,"[""Saving America's Horses: A Nation Betrayed"", 'Huff']",N/A,"Dirección, Producción, Edición",N/A
35,Saving America's Horses: A Nation Betrayed,Chief Arvol Looking Horse,"['Dance with Destiny', 'Misterios sin resolver']",N/A,N/A,N/A
36,Saving America's Horses: A Nation Betrayed,Paula Bacon,"[""Saving America's Horses: A Nation Betrayed"", 'Kill Pen']",N/A,N/A,N/A
37,Saving America's Horses: A Nation Betrayed,Linda Gray,"['Dallas', 'Oscar ¡quita las manos!']",1940,"Reparto, Dirección, Producción",4 premios y 10 nominaciones en total
38,Saving America's Horses: A Nation Betrayed,Tippi Hedren,"['Los pájaros', 'Marnie, la ladrona']",1930,"Reparto, Producción",11 premios y 1 nominación
39,Saving America's Horses: A Nation Betrayed,Willie Nelson,"['Dos chalados y muchas curvas', 'La cortina de humo']",1933,"Music Artist, Reparto, Composición",57 premios y 132 nominaciones en total
40,Saving America's Horses: A Nation Betrayed,Michael Blake,"['Bailando con lobos', 'Winnetou']",1945,"Guion, Dirección, Reparto",5 premios y 3 nominaciones en total
41,Saving America's Horses: A Nation Betrayed,Paul Sorvino,"['Repo! The Genetic Opera', 'Uno de los nuestros']",1939,"Reparto, Dirección, Producción",15 premios y 4 nominaciones
42,Gut,Jason Vail,"['Stranger Things', 'Ojo de Halcón']",mayo,"Reparto, Equipos adicionales, Producción",2 premios y 4 nominaciones
43,Gut,Nicholas Wilder,"['Ayla', 'Gut']",N/A,Reparto,2 premios y 2 nominaciones
44,Gut,Sarah Schoofs,"['Gut', 'Meme']",1981,"Reparto, Producción, Guion y continuidad",2 premios y 1 nominación
45,Gut,Angie Bullaro,"['Between the Pipes', 'The Networker']",N/A,"Reparto, Producción, Guion",N/A
46,Gut,Kirstianna Mueller,"['Muttnik', 'Gut']",N/A,Reparto,N/A
47,Gut,Kaitlyn Mueller,"['Gut', 'The Tenderloins']",N/A,Reparto,N/A
48,Gut,Ria Burns-Wilder,"['Gut', 'Best Ribs in Town']",N/A,"Reparto, Cámara y electricidad",N/A
49,Gut,Miles Joris-Peyrafitte,"['As You Are', 'Detrás de la Verdad']",1992,"Dirección, Guion, Composición",N/A
50,Two Shadows,Sophea Pel,"['Two Shadows', 'The Golden Voice']",N/A,Reparto,N/A
51,Two Shadows,Lida Lang,['Two Shadows'],N/A,Reparto,N/A
52,Two Shadows,Polo Doot,['Two Shadows'],N/A,Reparto,N/A
53,Two Shadows,Jonathan Nhean,"['Paulina', 'Two Shadows']",N/A,"Reparto, Producción",N/A
54,Two Shadows,Bryan Mordechai Jackson,"['A Perfect Ending', 'The Black Tape']",N/A,Reparto,N/A
55,Two Shadows,Sok Sothun,"['The Last Reel', 'The Forest Whispers']",N/A,Reparto,N/A
56,Two Shadows,Arn Chorn-Pond,"['Listening', 'Two Shadows']",N/A,"Reparto, Dirección de casting, Producción",N/A
