,nombre_peli,nombre_actxr,conocido_por,year_nacimiento,profesiones_string,premios
0,La vida secreta de Walter Mitty,Ben Stiller,"['Tropic Thunder: ¡Una guerra muy perra!', 'Zoolander (Un descerebrado de moda)']",1965,"Producción, Reparto, Dirección",18 premios y 69 nominaciones en total
1,La vida secreta de Walter Mitty,Kristen Wiig,"['La boda de mi mejor amiga', 'The Skeleton Twins']",1973,"Reparto, Producción, Guion",15 premios y 84 nominaciones en total
2,La vida secreta de Walter Mitty,Jon Daly,"['De-mentes criminales', 'Zoolander No. 2']",1977,"Reparto, Guion, Producción",3 nominaciones
3,La vida secreta de Walter Mitty,Kathryn Hahn,"['Afternoon Delight', 'Transparent']",1973,"Reparto, Producción, Guion",10 premios y 33 nominaciones en total
4,La vida secreta de Walter Mitty,Terence Bernie Hines,"['La vida secreta de Walter Mitty', 'I Think You Should Leave with Tim Robinson']",1969,"Reparto, Dirección, Guion",8 premios y 1 nominación
5,La vida secreta de Walter Mitty,Adam Scott,"['Parks and Recreation', 'Hermanos por pelotas']",1973,"Reparto, Producción, Dirección",6 premios y 35 nominaciones en total
6,La vida secreta de Walter Mitty,Paul Fitzgerald,"['La vida secreta de Walter Mitty', 'Ninja Turtles']",1970,"Reparto, Dirección, Guion",1 premio y 2 nominaciones
7,La vida secreta de Walter Mitty,Grace Rex,"['Separación', 'Qué asco de todo']",N/A,"Reparto, Guion, Dirección",N/A
8,In Secret,Elizabeth Olsen,"['Martha Marcy May Marlene', 'Doctor Strange en el multiverso de la locura']",1989,"Reparto, Producción, Banda sonora",23 premios y 64 nominaciones en total
9,In Secret,Oscar Isaac,"['Ex_Machina', 'A propósito de Llewyn Davis']",1979,"Reparto, Producción, Banda sonora",33 premios y 73 nominaciones en total
10,In Secret,Tom Felton,"['Harry Potter y la piedra filosofal', 'El origen del planeta de los simios']",1987,"Reparto, Dirección, Guion",5 premios y 6 nominaciones
11,In Secret,Jessica Lange,"['Tootsie', 'King Kong']",1949,"Reparto, Producción, Banda sonora",47 premios y 86 nominaciones en total
12,In Secret,Shirley Henderson,"['Star Wars: El ascenso de Skywalker', '24 Hour Party People']",1965,"Reparto, Banda sonora",12 premios y 14 nominaciones en total
13,In Secret,Matt Lucas,"['Little Britain', 'La boda de mi mejor amiga']",1974,"Reparto, Guion, Producción",7 premios y 13 nominaciones en total
14,In Secret,Mackenzie Crook,"['Piratas del Caribe: La maldición de la Perla Negra', 'Detectorists']",1971,"Reparto, Guion, Dirección",5 premios y 6 nominaciones en total
15,In Secret,John Kavanagh,"['Alejandro Magno', 'El último duelo']",1946,"Reparto, Banda sonora",1 nominación
16,42: La verdadera historia de una leyenda del deporte,Chadwick Boseman,"['Black Panther', 'Capitán América: Civil War']",1976,"Reparto, Producción, Guion",60 premios y 97 nominaciones en total
17,42: La verdadera historia de una leyenda del deporte,Harrison Ford,"['En busca del arca perdida', 'El fugitivo']",1942,"Reparto, Guion, Producción",47 premios y 58 nominaciones en total
18,42: La verdadera historia de una leyenda del deporte,Nicole Beharie,"['42: La verdadera historia de una leyenda del deporte', 'Shame']",1985,"Reparto, Banda sonora",4 premios y 28 nominaciones
19,42: La verdadera historia de una leyenda del deporte,Christopher Meloni,"['El hombre de acero', 'Wet Hot American Summer']",1961,"Reparto, Producción, Dirección",2 premios y 10 nominaciones en total
20,42: La verdadera historia de una leyenda del deporte,Ryan Merriman,"['Destino final 3', 'Pretender']",1983,"Reparto, Producción",6 premios y 8 nominaciones
21,42: La verdadera historia de una leyenda del deporte,Lucas Black,"['El otro lado de la vida', 'A todo gas: Tokyo Race']",1982,Reparto,3 premios y 10 nominaciones
