ID,Nombre,Tipo,Año de Estreno,Mes de Estreno
tt19365572,Hard to kill 2,Movie,2023,11
tt19365508,Quicksilver the movie,Movie,2023,12
tt19372642,Man on fire 2,Movie,2023,12
tt19372590,The warriors 2,Movie,2023,12
tt19372640,Spawn vs Blade the movie,Movie,2023,12
tt19372704,Superman doomsday the movie,Movie,2023,12
tt19372676,Superman vs Brainiac the movie,Movie,2023,12
tt19372716,Street fighter the movie,Movie,2023,12
tt19383410,Mortal Kombat vs D.C Universe the movie,Movie,2023,12
tt19389862,Street fighter the movie,Movie,2023,12
tt19394258,Tariq,Movie,2023,8
tt19500164,Nimona,Movie,2023,6
tt19753612,The Quirk,Movie,,
tt19755170,Bawaal,Movie,2023,7
tt19812128,The Insanity: Retribution,Movie,2023,10
tt19883074,Madre Tierra,Movie,2023,
tt19884572,When Girls Ride,Movie,2023,8
tt19372648,Green arrow the movie,Movie,2023,12
tt20237154,This War of Mine,Movie,2023,5
tt20319598,Lakadbaggha,Movie,2023,1
tt20355484,Ett sista race,Movie,2023,12
tt20425440,BGil Studios' the Dragonfly: Born Again,Movie,2023,9
tt20518312,Static Codes,Movie,2023,8
tt20722940,Stereo Crashers,Movie,2023,6
tt20754096,The Deceiver,Movie,2023,6
tt21041232,Scrappy Bot,Movie,2023,6
tt21141958,Daadal,Movie,2023,4
tt21294600,Gold-Verse Studios' 'The Grid',Movie,2023,12
tt21435580,Hermosa Justicia,Movie,2023,4
tt21741198,49,Movie,2023,1
tt21941216,Nefes: Yer Eksi Iki,Movie,2023,12
tt21938428,What We Become,Movie,2023,4
tt22016156,Avgrunden,Movie,2023,9
tt22185436,A Season in Hell!,Movie,2023,7
tt22444570,Ponniyin Selvan: Part Two,Movie,2023,4
tt22488024,Sakra,Movie,2023,1
tt22535196,Aliens the Awakening,Movie,2023,8
tt22813112,Noryang,Movie,2023,12
tt22868844,Burakku Kurôbâ: Mahôtei no Ken,Movie,2023,6
tt22869636,Düses 1 - Mafya Sizintisi,Movie,2023,1
tt22907680,Surya,Movie,2023,1
tt23024254,Omme Nodide,Movie,2023,6
tt23037838,I Soli Oscuri,Movie,2023,5
tt23219684,Mighty Morphin Power Rangers: Once & Always,Movie,2023,4
tt23289160,Godzilla Minus One,Movie,2023,12
tt23490586,Amigos,Movie,2023,2
tt23546666,Otoban Katilleri,Movie,2023,8
tt23638846,Princess Principal: Crown Handler: Chapter 3,Movie,2023,4
tt23650066,Da hai guai,Movie,2023,1
tt23745844,Das Ka Dhamki,Movie,2023,3
tt23751706,Resgate na selva 2023,Movie,2023,7
tt23812736,Ninpu Sentai Hurricaneger Degozaru! Shushuuto 20th Anniversary,Movie,2023,6
tt23870054,Marca de Sangue(2022/1),Movie,2023,7
tt23950632,Ultraman Decker Finale: Journey to Beyond,Movie,2023,2
tt24021742,Senapura,Movie,2023,3
tt24133274,Do or Die,Movie,2023,2
tt24133834,Rapid Action,Movie,2023,1
tt21987648,Inherited,Movie,2023,10
tt22097422,Ant-Man the Beginning,Movie,2023,5
tt24243464,Robot Chicken,Movie,2023,11
tt24250570,Wes Diego,Movie,2023,3
tt24330196,Selfiee,Movie,2023,2
tt24485282,Intikam Oyunlari,Movie,2023,4
tt24517876,Junior,Movie,2023,8
tt24581070,Coast Guard Malaysia: Ops Helang,Movie,2023,2
tt24657462,SSSS.Gridman,Movie,2023,1
tt24787322,Gurudev Hoysala,Movie,2023,3
tt25010142,Nanatsu no Taizai : Ensa no Edinburgh 2,Movie,2023,8
tt25049302,The Come Up,Movie,2023,1
tt25272982,Once Upon A Time in Philly Part 2,Movie,2023,2
tt25376340,Char Cup Chai,Movie,2023,6
tt25399466,SSSS.Dynazenon,Movie,2023,3
tt25402442,L'axe lourd,Movie,2023,1
tt25402886,Xzee vs OTTWitt,Movie,2023,5
tt25403912,Duan Nago Bogho,Movie,2023,1
tt25406052,Kingdom: Unmei no Hono,Movie,2023,7
tt25431772,Fangbone!,Movie,2023,7
tt25433990,Ciu sanging haaigip'on,Movie,2023,1
tt25434168,Aadikeshava,Movie,2023,11
tt25503544,Phantom,Movie,2023,1
tt25504588,Ramachari 2.0,Movie,2023,4
tt25504688,Ramachari 2.0,Movie,2023,4
tt25515728,Chaser,Movie,Desconocido,Desconocido
tt25534788,Cop vs. Killer,Movie,2023,7
tt25603198,Silence of the 177,Movie,2023,1
tt25621878,Nabin: The Rise,Movie,2023,1
tt25789044,Malek Al Halaba,Movie,2023,6
tt25808194,Talchul: Project Silence,Movie,2023,
tt25785622,Streets,Movie,2023,1
tt25838586,El Otro Clásico,Movie,2023,1
tt25829648,Chasing Days,Movie,2023,1
tt25957158,The CEO Arya,Movie,2023,1
tt25965878,RiffTrax: In the Line of Duty 2: The Super Cops,Movie,2023,1
tt25966332,Error 500,Movie,2023,1
