Nombre,Puntuacion_IMDB,Puntuacion_Rotten_Tomatoes,Director,Guionistas,Argumento,Duracion
The Greater Meaning of Water,"6,6",,Sky Christopherson,Sky ChristophersonJ. Elizabeth MartinBilge Sayim,"Freediver Max Avery (Justin Flint Williford) journeys to his inner-most depths as he pursues competitive freediving as a relief from a chronic lung disease. Yet his passion for the extreme sport is widening a rift between him and his father (Mark Brunetti), a physician, who hears his son's risky descents will cost him his life. As Max trains for one last world record ... Leer todo",1h
Barry Munday,"5,8",47%,Chris D'Arienzo,Chris D'ArienzoFrank Turner Hollon,"Barry Munday wakes up after being attacked to realize that he's missing his family jewels. To make matters worse, he learns he's facing a paternity lawsuit filed by a woman he can't remember having sex with.",1h 35min
Bandeiji,"6,6",,Takeshi Kobayashi,Chika KanShunji Iwai,Four boys have their friendship and musical talents tested in the ever changing worlds of the music industry and real life in 1990s Japan.,1h 59min
A Woman Is a Woman,,82%,Arthur J. Mangano,Arthur J. Mangano,A female doctor falls for a married city mayor.,1h 42min
PrimeMates,"7,0",,Rudy Luna,Rudy Luna,"Primemates is a disturbing and honest conversation among four men in an exclusive cigar shop. They talk about love, relationships, and sex. While exploring men's fascination with younger women, Primemates delves into many political taboos usually associated with the intellectual.",1h 22min
Ramona and Beezus,"6,5",70%,Elizabeth Allen Rosenbaum,Laurie CraigNick PustayBeverly Cleary,"Tratando de desmentir su imagen de molesta y conflictiva, Ramona diseña varias estrategias para ganar dinero y así aliviar los problemas económicos de su familia.",1h 44min
Good Sharma,"6,7",,Suri Krishnamma,Joanna LancasterMichael Singh,,1h 40min
O Inimigo Sem Rosto,"6,5",,José Farinha,Maria José MorgadoJosé VegarVicente Alves do Ó,,1h 25min
Tranced,"5,8",,David Mickey Evans,Marshall Sylver,,
Love & Other Drugs,"6,7",49%,Edward Zwick,Charles RandolphEdward ZwickMarshall Herskovitz,"En el Pittsburgh de los años 90, un vendedor de medicamentos inicia una relación con una joven que padece la enfermedad de Parkinson.",1h 52min
King of the Avenue,"3,9",17%,Ryan Combs,Ryan Combs,A young drug dealer sells his soul to the devil in order to become the #1 seller on the block.,1h 23min
Night Catches Us,"6,2",80%,Tanya Hamilton,Tanya Hamilton,"In 1976, complex political and emotional forces are set in motion when a young man returns to the race-torn Philadelphia neighborhood where he came of age during the Black Power movement.",1h 30min
L'illusionniste,"7,5",,Sylvain Chomet,Sylvain ChometJacques Tati,"Un ilusionista francés se queda sin trabajo y decide viajar a Escocia, donde conoce a una joven mujer. La vida de ambos para siempre.",1h 20min
El cielo elegido,"6,2",,Víctor González,Huili RaffoVíctor González,A well-intentioned novice priest tries to stay out of two older clerics' criminal scheme. Until money and a girl come into play.,2h 3min
The Wolfman,"5,8",,Joe Johnston,Andrew Kevin WalkerDavid SelfCurt Siodmak(1941 motion picture screenplay),"Al regresar a su tierra ancestral, un hombre estadounidense es mordido, y posteriormente maldecido, por un hombre lobo.",1h 43min
The First Grader,"7,4",62%,Justin Chadwick,Ann Peacock,The story of an 84 year-old Kenyan villager and ex Mau Mau veteran who fights for his right to go to school for the first time to get the education he could never afford.,1h 43min
13,"6,0",,Géla Babluani,Géla BabluaniGreg Pruss,"Un joven ingenuo asume la identidad de un muerto y se ve envuelto en un mundo subterráneo de poder, violencia y azar donde los hombres apuestan a puerta cerrada sobre la vida de otros hombres.",1h 31min
Ironmen,"6,3",,Elias Goday,Elias GodaySara LimHenry Thomas,An almost fatal injury gives a young man his challenge of a lifetime.,1h 59min
Nemesis,"6,7",71%,Nicole Mosleh,Nicole Mosleh,"Claire and Robert spend most of their time in a house they own in the beautiful and remote countryside in Italy. Their life seems to be perfect. But when Claire's sister gets murdered in the very same house, the traumatic event shakes up their relationship. Disappointment, fear and resentment they swept under the rug for years, resurface. Revealing the dark side of a ... Leer todo",1h 23min
It's Kind of a Funny Story,"7,1",58%,Anna BodenRyan Fleck,Anna BodenRyan FleckNed Vizzini,Un adolescente clínicamente deprimido comienza de nuevo después de ingresar a una sala de psiquiatría para adultos.,1h 41min
Ashes,"5,7",,Ajay Naidu,Heather BurnsSidney FeldmanAjay Naidu,"Ashes is the story of a young Indo-American man who struggles in the inner city of New York to support himself and his mentally ill older brother. When a group of small time Indian gangsters offer Ashes an easy road to wealth, he pursues them with vigor. With his brother's health on the decline and Ashes on a steady path towards hardcore crime, Ashes must try to choos... Leer todo",1h 17min
Flipped,"7,7",55%,Rob Reiner,Rob ReinerAndrew ScheinmanWendelin Van Draanen,Dos estudiantes de secundaria empiezan a sentirse atraídos el uno por el otro a pesar de ser polos opuestos.,1h 30min
Soupernatural,"6,7",,Christopher Noice,Julie Matthews,Qué ocurre en la redacción de un pequeño pueblo cuando se rumorea que el Mesías va a servir sopa en la fiesta de una iglesia local.,
Waking Madison,"5,5",43%,Katherine Brooks,Katherine Brooks,A woman suffering from multiple personality disorder tries to piece back together her life.,1h 29min
The Kids Are All Right,"7,0",93%,Lisa Cholodenko,Lisa CholodenkoStuart Blumberg,Dos niños concebidos por inseminación artificial llevan a su padre biológico a conocer su poco habitual vida familiar.,1h 46min
The Town,"7,5",92%,Ben Affleck,Peter CraigBen AffleckAaron Stockard,"Un hábil grupo de ladrones roba un banco y mantiene como rehén a Claire, la subdirectora. Las cosas empiezan a complicarse cuando uno de los miembros de la banda se enamora de Claire.",2h 5min
Killer by Nature,"3,6",,Douglas S. Younglove,Douglas S. Younglove,Horrific murders which once lived only in a young man's nightmares suddenly begin occurring in chilling reality in his hometown.,1h 34min
Risen,"5,2",,Neil Jones,Stuart BrennanNeil Jones,"The story of Howard Winstone is a compelling one. Howard became Featherweight Champion of the World at the age of 29 in 1968. What makes Howard's story quite remarkable is that as a young man he lost the tips of three fingers in an industrial accident of his home town of Merthyr Tydfil. The accident was so severe that he was unable to make a fist with his right hand, ... Leer todo",2h 1min
Bloudím,"5,1",,Martin Müller,Jan BubelaMartin MüllerZdenka Zvarová,Game of the reminiscence of the woman in the labyrinth of the city and time.,1h 15min
A Summer Song,"6,6",,Martica De CardenasSasha-Alexandre Torres,Martica De Cardenas,"Reluctant to enjoy her holiday with family, a contemptuous teen runs away and journeys through a time trip with a spiritual being who shows her the inevitable nature of destiny and her ability to change it.",
Kolorádó Kid,"6,0",,András Vágvölgyi B.,István EörsiLászló EörsiFrigyes Gödrös,In the summer of 1959 Béla Kreuzer - a loader and gambler - is handcuffed and arrested. He is placed in detention and at first he thinks this is because his dubious activities on the racecourse but it soon turns out that the reason is his participation in the revolution in 1956. During the investigation old friends turn their backs on him as does his girlfriend. The o... Leer todo,1h 51min
Wide Blue Yonder,"5,8",,Robert Young,Hugh Janes,"A black comedy about an old rogue named Wally, who breaks all the rules to fulfill an old friends dying wish to be buried at sea.",1h 28min
