Tipo,Nombre,Año de Estreno,Mes de Estreno,ID,Genero
Movie,Let the Game Begin,2010,1,tt1041778,Accion
Movie,"O: love, beauty, pain, struggle",2010,2,tt10417654,Accion
Movie,Tamassu,2010,6,tt10428942,Accion
Movie,Just Inès,2010,11,tt1042974,Accion
Movie,El mal ajeno,2010,11,tt1043800,Accion
Movie,Camp Hell,2011,12,tt1047449,Accion
Movie,Howl,2011,5,tt1049402,Accion
Movie,The Singularity Is Near,2012,7,tt1049412,Accion
Movie,Between The Lines,2010,6,tt10500904,Accion
Movie,Asa Mi Kay Gunha Kela,2010,,tt10510724,Accion
Movie,The Black Bay Sequence,2010,,tt10510738,Accion
Movie,Ivory,2010,,tt1051340,Accion
Movie,Lost Everything,2013,11,tt1051715,Accion
Movie,Hearts of Three,2010,5,tt10529804,Accion
Movie,Chike Naija,2010,,tt10533316,Accion
Movie,As Melhores Coisas do Mundo,2010,4,tt1054677,Accion
Movie,Life as We Know It,2010,10,tt1055292,Accion
Movie,Spud,2010,12,tt1059969,Accion
Movie,Al Nebras,Desconocido,Desconocido,tt10624618,Accion
Movie,Small Town Saturday Night,2010,6,tt1063111,Accion
Movie,Bare Knuckles,2010,,tt1063327,Accion
Movie,Punk's Dead,2010,9,tt10637610,Accion
Movie,Je ne vous oublierai jamais,2010,4,tt1064960,Accion
Movie,Quincas Berro d'Água,2010,5,tt1068962,Accion
Movie,From the Midst of Pain,2010,10,tt1071927,Accion
Movie,The Dead Sleep,2010,2,tt1071783,Accion
Movie,Troubadours,2010,,tt1073519,Accion
Movie,Jonah Hex,2010,9,tt1075747,Accion
Movie,Psychosomatika,2011,12,tt1078591,Accion
Movie,Krews,2010,3,tt1078583,Accion
Movie,10 Years Later,2010,3,tt1079974,Accion
Movie,Happiness Runs,2010,5,tt1079964,Accion
Movie,Pusher,2010,10,tt1082075,Accion
Movie,Lights Out,2015,6,tt1085448,Accion
Movie,The Last Musketeer,2010,6,tt1087459,Accion
Movie,Consent,2013,2,tt1090749,Accion
Movie,Çiglik Çigliga Bir Sevda,2010,,tt10912916,Accion
Movie,Shanghai,2010,9,tt1092634,Accion
Movie,Orsova Noua 5: Epilog,2010,,tt10931336,Accion
Movie,Louis,2010,8,tt1093902,Accion
Movie,Hamill,2011,10,tt1094666,Accion
Movie,The Quiet Ones,2012,5,tt1094597,Accion
Movie,Forgotten Pills,2010,6,tt1095180,Accion
Movie,Morning,2010,6,tt1095417,Accion
Movie,Do Elephants Pray?,2013,2,tt1098326,Accion
Movie,Frenchy,2022,1,tt1286146,Accion
Movie,Broken Sun,2010,11,tt1101031,Accion
Movie,Peep World,2011,3,tt1103273,Accion
Movie,Red Dirt Rising,2014,10,tt1103274,Accion
Movie,Eva,2010,10,tt1105740,Accion
Movie,Dirty Girl,2011,7,tt1107319,Accion
Movie,You Have the Right to Remain Violent,2010,5,tt1107855,Accion
Movie,Nirahua Rickshawwala,2010,2,tt11091790,Accion
Movie,Nirahua No. 1,2010,1,tt11091794,Accion
Movie,Kalamity,2010,10,tt1109594,Accion
Movie,Ae Bhaujee Ke Sister,2010,,tt11114760,Accion
Movie,Code Blue,2010,9,tt1111884,Accion
Movie,Carmen's Kiss,2017,11,tt1116183,Accion
Movie,O Sonho de Inacim - O Aprendiz do Padre Rolim,2010,6,tt11176246,Accion
Movie,Pravosudie volkov,2010,10,tt1119192,Accion
Movie,Sajal Ehtidhar,2010,10,tt11198656,Accion
Movie,Blue Valentine,2011,3,tt1120985,Accion
Movie,Di renjie: Tong tian di guo,2010,9,tt1123373,Accion
Movie,Pankh,2010,4,tt1124386,Accion
Movie,Love Ranch,2011,1,tt1125929,Accion
Movie,Burlesque,2010,12,tt1126591,Accion
Movie,Morning Glory,2011,1,tt1126618,Accion
Movie,The Beautiful Outsiders,2010,,tt11274532,Accion
Movie,Another Harvest Moon,2010,10,tt1129404,Accion
Movie,Sisanje,2010,10,tt1129437,Accion
Movie,Radio Free Albemuth,2014,6,tt1129396,Accion
Movie,The 5th Quarter,2011,3,tt1130964,Accion
Movie,Redlight Greenlight,2010,9,tt1130968,Accion
Movie,Maharaja: the story of ranjit singh,2010,,tt11317462,Accion
Movie,Aaj Ke Karan Arjun,2010,7,tt11317936,Accion
Movie,Donkeys,2010,10,tt1134846,Accion
Movie,Krach,2010,9,tt1135083,Accion
Movie,Io non ti assolvo,2010,1,tt11374176,Accion
Movie,Moo-jeok-ja,2010,9,tt1138442,Accion
Movie,The Ghost Writer,2010,5,tt1139328,Accion
Movie,Due vite per caso,2010,5,tt1141306,Accion
Movie,Dreams ahead,2010,6,tt11423890,Accion
Movie,Holy Rollers,2010,12,tt1143896,Accion
Movie,Between the Raindrops,2010,1,tt11440314,Accion
Movie,Dar Joued,2010,10,tt11439792,Accion
Movie,De día y de noche,2011,10,tt1145430,Accion
Movie,Laat Sahab,2010,,tt11483028,Accion
Movie,Rudolfa mantojums,2010,1,tt1149607,Accion
Movie,Kong Ming Deng,2010,,tt11496418,Accion
Movie,Adelaide,2010,,tt11512458,Accion
Movie,NY Export: Opus Jazz,2010,3,tt1152278,Accion
Movie,The Karate Kid,2010,7,tt1155076,Accion
Movie,Na putu,2011,3,tt1156531,Accion
Movie,Agua fria de mar,2011,3,tt1156527,Accion
Movie,Odio Los Lunes,Desconocido,Desconocido,tt11574510,Accion
Movie,Gor Bapa No Gotalo,2010,,tt11646432,Accion
Movie,Ame Prem Deewana,2010,7,tt11646390,Accion
Movie,Radha Chudlo Perje Mara Naam No,2010,4,tt11646454,Accion
Movie,Sahabuddin Rather Na Hasya Na,2010,10,tt11646642,Accion
Movie,Biutiful,2011,2,tt1164999,Accion
Movie,L'immortel,2010,5,tt1167638,Accion
Movie,The Company Men,2012,4,tt1172991,Accion
