,Tipo,Nombre,Año de Estreno,Mes de Estreno,ID de la Película,Genero
92,Movie,Multiple Sarcasms,2010,4,tt0984210,Accion/Comedia/Drama
93,Movie,A Flat,2010,11,tt0988655,Accion/Drama
94,Movie,Dear John,2010,3,tt0989757,Accion/Drama
95,Movie,The Experiment,2010,8,tt0997152,Accion/Drama
96,Movie,Bibliothèque Pascal,2010,3,tt0997035,Accion/Drama
97,Movie,Rosso autunno,Desconocido,Desconocido,tt10010654,Accion/Drama
98,Movie,Opal,2010,10,tt1008015,Accion/Drama
99,Movie,The Steamroom,2010,,tt1008046,Accion/Comedia/Drama
100,Movie,Love Sick Diaries,2012,9,tt1010270,Accion/Drama
101,Movie,Prime of Your Life,2010,,tt1016226,Accion/Comedia/Drama
102,Movie,The Runaways,2010,11,tt1017451,Accion/Drama
103,Movie,Woyzeck 2010,2010,6,tt10195742,Accion/Drama
104,Movie,Deal,2010,,tt1020011,Accion/Drama
105,Movie,Patagonia,2011,3,tt1020559,Accion/Drama
106,Movie,Centurion,2010,5,tt1020558,Accion/Drama
107,Movie,Copie conforme,2010,8,tt1020773,Accion/Drama
108,Movie,Rising Star,2010,,tt1022884,Accion/Drama
109,Movie,The Way Back,2011,1,tt1023114,Accion/Drama
110,Movie,What About Cuba?,2010,11,tt10240942,Accion/Drama
111,Movie,Wall Street: Money Never Sleeps,2010,9,tt1027718,Accion/Drama
112,Movie,Secretariat,2010,10,tt1028576,Accion/Drama
113,Movie,Sawariya lai de ho rangni chudi,2010,,tt10309458,Accion/Drama
114,Movie,Jai Balaji Mehndipur Wale,2010,1,tt10323662,Accion/Drama
115,Movie,The Book of Eli,2010,3,tt1037705,Accion/Drama
116,Movie,Let the Game Begin,2010,1,tt1041778,Accion/Comedia/Drama
117,Movie,"O: love, beauty, pain, struggle",2010,2,tt10417654,Accion/Drama
118,Movie,Tamassu,2010,6,tt10428942,Accion/Drama
119,Movie,Just Inès,2010,11,tt1042974,Accion/Drama
120,Movie,El mal ajeno,2010,11,tt1043800,Accion/Drama
121,Movie,Camp Hell,2011,12,tt1047449,Accion/Drama
122,Movie,Howl,2011,5,tt1049402,Accion/Drama
123,Movie,The Singularity Is Near,2012,7,tt1049412,Accion/Drama
124,Movie,Between The Lines,2010,6,tt10500904,Accion/Drama
125,Movie,Asa Mi Kay Gunha Kela,2010,,tt10510724,Accion/Drama
126,Movie,The Black Bay Sequence,2010,,tt10510738,Accion/Drama
127,Movie,Ivory,2010,,tt1051340,Accion/Drama
128,Movie,Lost Everything,2013,11,tt1051715,Accion/Drama
129,Movie,Hearts of Three,2010,5,tt10529804,Accion/Drama
130,Movie,Chike Naija,2010,,tt10533316,Accion/Drama
131,Movie,As Melhores Coisas do Mundo,2010,4,tt1054677,Accion/Comedia/Drama
132,Movie,Life as We Know It,2010,10,tt1055292,Accion/Comedia/Drama
133,Movie,Spud,2010,12,tt1059969,Accion/Comedia/Drama
134,Movie,Al Nebras,Desconocido,Desconocido,tt10624618,Accion/Drama
135,Movie,Small Town Saturday Night,2010,6,tt1063111,Accion/Drama
136,Movie,Bare Knuckles,2010,,tt1063327,Accion/Drama
137,Movie,Punk's Dead,2010,9,tt10637610,Accion/Drama
138,Movie,Je ne vous oublierai jamais,2010,4,tt1064960,Accion/Drama
139,Movie,Quincas Berro d'Água,2010,5,tt1068962,Accion/Comedia/Drama
140,Movie,From the Midst of Pain,2010,10,tt1071927,Accion/Drama
141,Movie,The Dead Sleep,2010,2,tt1071783,Accion/Drama
142,Movie,Troubadours,2010,,tt1073519,Accion/Drama
143,Movie,Jonah Hex,2010,9,tt1075747,Accion/Drama
144,Movie,Psychosomatika,2011,12,tt1078591,Accion/Comedia/Drama
145,Movie,Krews,2010,3,tt1078583,Accion/Drama
146,Movie,10 Years Later,2010,3,tt1079974,Accion/Comedia/Drama
147,Movie,Happiness Runs,2010,5,tt1079964,Accion/Drama
148,Movie,Pusher,2010,10,tt1082075,Accion/Drama
