Tipo,Nombre,Año de Estreno,Mes de Estreno,ID de la Película
Short,The Forest,2012,5,tt10003778
Short,Masuk,2012,9,tt10018108
Short,Home made,2012,1,tt10016550
Short,If the War Continues,Desconocido,Desconocido,tt10034526
Short,Kathakas,2012,11,tt10036650
Short,Hustle,2012,,tt10042000
Short,Teles,2012,10,tt10039592
Short,The Hospital,2012,7,tt10041934
Short,Se Hace Poesía Al Andar,2012,2,tt10042408
Short,Can You Still Taste the Ocean?,2012,6,tt10046482
Short,Undercolour,2012,5,tt10049112
Short,La sera prima,2012,2,tt10048686
Short,In the Mirror,2012,7,tt10055924
Short,"The Princess, the Prince and the green-eyed Dragon",2012,5,tt10061026
Short,Imagine,2012,2,tt10061836
Short,Goutte à Goutte,2012,1,tt10061796
Short,Adult Stem Cells,2012,9,tt10067962
Short,Burbujas,2012,5,tt10071126
Short,Engle hører til i himlen,2012,,tt10066684
Short,Dreamstate,2012,,tt10074286
Short,Rainbow Over the Ruins,2012,,tt10075340
Short,Never Do Harm,2012,4,tt10075430
Short,Pick Your Dream,2012,,tt10075372
Short,A Timely Anniversary,2012,12,tt10079410
Short,Lola,Desconocido,Desconocido,tt10079536
Short,Antebellum,2012,11,tt10080284
Short,Belle comme le jour,2012,,tt10082444
Short,Frankenstein's Sorbid Lover,Desconocido,Desconocido,tt10084968
Short,Classy Allure,2012,6,tt10087454
Short,House of Judgment,2012,6,tt10086746
Short,Gaides laloun,2012,,tt10089732
Short,Pikahsso - Verbadelyck Luhv,2012,11,tt10092506
Short,Là-Bas,2012,,tt10092534
Short,Prosil jsem ho o hodnoverný výklad toho vseho,Desconocido,Desconocido,tt10095422
Short,"Roscoe, Lowlands",2012,6,tt10097414
Short,Luc Leccia,2014,4,tt10101066
Short,Littekens,2012,9,tt10107454
Short,Love Sucks,2012,7,tt10106448
Short,Koebaaiklub,2012,9,tt10107296
Short,Like My Profile,2012,9,tt10107370
Short,Uit die kaskenades ... 'n skewe uitkyk,2012,9,tt10107242
Short,Pescador de Marcéu,2012,,tt10110200
Short,Inner Space,Desconocido,Desconocido,tt10115328
Short,Love in a Min,2012,11,tt10115322
Short,Silencio,2012,12,tt10117024
Short,Shitcom,2012,9,tt10116914
Short,La Visita,2012,7,tt10117000
Short,La Culpa es del Calzón,2012,1,tt10118644
Short,Die Buurtwag,2012,9,tt10117556
Short,La voce di Collemaggio,2012,,tt10118082
Short,Stut,2012,9,tt10117908
Short,Je mi jednadvacet,Desconocido,Desconocido,tt10120582
Short,Joy Hunter: A War Story,2012,4,tt10122708
Short,Idol-My,2012,4,tt10126364
Short,This Party Blows,Desconocido,Desconocido,tt10127818
Short,NHL: the Game Means Something,2012,10,tt10131266
Short,Danimals Crunchers,2012,2,tt10136764
Short,Danimals Smoothies: Volleyball,2012,,tt10136780
Short,Where The Wind Blows...,2012,11,tt10138284
Short,ETzudah: As Abduzidas do Sexo,2012,,tt10151964
Short,El éxito de Sara,2012,11,tt10157838
Short,Hamburg,2012,7,tt10161382
Short,I mahi tou Sarantaporou,2012,,tt10162830
Short,Beautiful Woman,2012,7,tt10161514
Short,2000qm mit Garten,2012,7,tt10161050
Short,Independence Day,2012,7,tt10161304
Short,El cantor del Sur,2012,12,tt10170092
Short,To Be Candy,2012,5,tt10171784
Short,Os Pequerruchos Na Fazenda,2012,11,tt10171298
Short,À trois sur Marianne,Desconocido,Desconocido,tt10178062
Short,Do you think I'm pretty,2012,9,tt10178042
Short,Taggers,2012,10,tt10184196
Short,I apeleftherosi tis Thrakis,2012,,tt10184410
Short,Aquém das Nuvens,2012,,tt10184392
Short,Angola with Mestre Cobra Mansa,2012,5,tt10188424
Short,Casting,2012,,tt10192874
Short,Chicken on Wire,2012,11,tt10197596
Short,Matadores de Victoria,2012,2,tt10198240
Short,Over Developed,2012,10,tt10199944
Short,The Great Huki,2012,1,tt10213464
Short,Donuts,2012,1,tt10218574
Short,Moose,2012,2,tt10218654
Short,Bez GMO,2012,7,tt10217362
Short,Panagia i Baloukliotissa,2012,,tt10217044
Short,The Brother In Me,2012,3,tt10218636
Short,Revnost,2012,7,tt10217424
Short,Vizit,2012,7,tt10217614
Short,When Angels Cry,2012,1,tt10220486
Short,Sex CD,2012,11,tt10218494
Short,Topless Scene,2012,7,tt10218512
Short,Take a Knee,2012,6,tt10221886
Short,Film Kiss,2012,6,tt10222400
Short,Corrupto de Amor,2012,7,tt10222946
Short,Fgr,2012,1,tt10225662
Short,Umut (Hope),2012,9,tt10225394
Short,HNO3,2012,12,tt10223596
Short,Scumblood,2012,,tt10224858
Short,Shit Jewish Bitches Say,2012,1,tt10229462
Short,The Mugging Process,2012,5,tt10229488
Short,O Agios Nikolaos tis Agias kai i synoikia Tzimbali,2012,,tt10233444
Short,One Breath,2012,,tt10234818
Short,5 Dollars,2012,,tt10234502
Short,Sang Froid,Desconocido,Desconocido,tt10239934
Short,Nowhere,2012,8,tt10241796
Short,Movieclips: Star Trek Into Darkness Fan Made Teaser,2012,3,tt10244394
Short,Catch,2012,,tt10244416
Short,J'ai rendez-vous,2012,9,tt10243560
Short,American Heroes,2012,12,tt10249418
Short,"Two Cops, A Guy and A Phone",2012,4,tt10253820
Short,Russian Railways,Desconocido,Desconocido,tt10255988
Short,And the Winner Is,Desconocido,Desconocido,tt10260890
Short,Reflection,2012,4,tt10265636
Short,A Game of Sport,2012,6,tt10267670
Short,Gia tin Kypro,2012,,tt10274656
Short,Thom Yorke: Robot Hunter,2012,9,tt10275302
Short,La lectora de coños,Desconocido,Desconocido,tt10276536
Short,Los pinos,Desconocido,Desconocido,tt10277552
Short,Szalency na wolnosci,2012,,tt10279844
Short,The Tiff,2012,6,tt10282584
Short,Harvey Clambake's Akira Remake,2012,3,tt10279814
Short,Sensorium Tests,2012,1,tt10282768
Short,Running on Empty,2012,4,tt10279264
Short,The 13: Fall,2012,8,tt10287856
Short,Shadow of the Staircases,2012,11,tt10299870
Short,The Big Sleep,2012,5,tt10302198
Short,Last Day of the Year,2012,5,tt10306656
Short,tC Audio,2012,,tt10308162
Short,When It Rains,2012,6,tt10306354
Short,I Spy,2012,10,tt10308498
Short,Flight of the Tortoise,Desconocido,Desconocido,tt10309692
Short,Fathoms Left to Fall,2012,9,tt10308862
Short,The Bulb Changer,2012,6,tt10309542
Short,Away from Growing Up,2012,5,tt10310066
Short,1/2,2012,5,tt10315164
Short,Ane Brun: Words,2012,7,tt10319622
Short,Think Pink!,2012,12,tt10319616
Short,Moderna vrahiolia gia sena... agapi mou!,2012,4,tt10319638
Short,Dr. D.: The Crash,2012,12,tt10319512
Short,Looking Glass Insects,Desconocido,Desconocido,tt10319566
Short,Shampoing,2012,,tt10334380
Short,Serial Killers,2012,8,tt10334178
Short,Meritocrazia,2012,,tt10345920
Short,Hood by Air: Bandana,2012,6,tt10344420
Short,Source,2012,,tt10350554
Short,Irretraceable,2012,5,tt10359680
Short,Nature's Father,2012,6,tt10364394
Short,Je suis seul (ALONE),2012,6,tt10375602
Short,The Splinter,Desconocido,Desconocido,tt10372256
Short,Chappo: 5-0,2012,10,tt10375130
Short,Tanglewylde,2012,,tt10383552
Short,The Devil You Don't,2012,6,tt10384096
Short,The Third Crossing,2012,1,tt10388980
Short,The Lone Wolf,2012,11,tt10390048
Short,Walls,Desconocido,Desconocido,tt10392396
Short,Buckwild: Jasper Hollis,2012,,tt10390890
Short,Ferocity,2012,10,tt10392672
Short,Aigileia: Navagio IV,2012,5,tt10403042
Short,Cub Crib,2012,8,tt10398572
Short,Trésors des Langues du Monde,2012,2,tt10399052
Short,Souvenirs de Verão,2012,9,tt10400822
Short,Bed Bugs,2012,4,tt10403894
Short,Przelot nad zdobytym miastem,2012,1,tt10407948
Short,The Identities,2012,6,tt10410056
Short,Zakaraia,2012,,tt10410540
Short,Huasco,2012,11,tt10413402
Short,Lust,2012,3,tt10417626
Short,Street Fighter 4 Play Expo Promo,2012,10,tt10420886
Short,A Parte Essencial,Desconocido,Desconocido,tt10423558
Short,The Ticket - Martial Arts Show Promo,2012,4,tt10420786
Short,Carnal Carnivore,2012,,tt10423014
Short,Pedro Podrido 2,2012,3,tt10428670
Short,The Grieving Widow,2012,,tt10432154
Short,Piedras al río,2012,11,tt10431296
Short,Lion Tomb,2012,12,tt10433650
Short,Bedside Manners,2012,7,tt10436366
Short,Järnrörsfilmen,2012,11,tt10443438
Short,Querida,2012,11,tt10456794
Short,A Can of Worms,2012,10,tt10461026
Short,Stepson,2012,6,tt10466462
Short,"A Christmas Story, Sort Of",2012,12,tt10472534
Short,TV 1979,2012,1,tt10481620
Short,Tramvajljudi - Katalog frustracija,2012,11,tt10482226
Short,London Town South,2012,,tt10498030
Short,The Painter Marcell,2012,,tt10498092
Short,The Art of Silence,2012,,tt10498068
Short,Will Young: Losing Myself,2012,2,tt10506104
Short,Happily Ever After,2012,6,tt10507294
Short,Mario Runs in the 90s,2012,6,tt10509466
Short,"Leonilson, sob o Peso dos Meus Amores",2012,,tt10510438
Short,Dance,2012,9,tt10510492
Short,Curiosity killed the cats,Desconocido,Desconocido,tt10514006
Short,Hannah,2012,9,tt10514042
Short,Carino Corazon,2012,,tt10516634
Short,Dying Twice,2012,,tt10515706
Short,Iranglish,2012,11,tt10517558
Short,Asha Hai Bachpan Ho Azad,2012,1,tt10520846
Short,Mangal Maange Paani,2012,1,tt10525916
Short,Casa Grande: House of Many Stories,2012,6,tt10529152
Short,Michel Soutter,2012,,tt10535226
Short,Auf Wiedersehen - für Gwen und Søren,2012,,tt10535210
Short,Mario,2012,12,tt10538858
Short,Chute Libre,2012,8,tt10539348
Short,Waffles Go in Mouths,2012,5,tt10539308
Short,Saved (seguir viviendo),2012,4,tt10549628
Short,Chant Et Fugue,2012,6,tt10549788
Short,Épreuve de foi,2012,3,tt10549600
Short,Premirje,2012,1,tt10553144
Short,Yikilan hayatlar: Tarlabasi,2012,,tt10560756
Short,Troc,2012,3,tt10561304
Short,Mishmert Zmanit,2012,,tt10563136
Short,White pigeon by the mirror,2012,10,tt10563692
Short,Al Pnei HaMayim,2012,,tt10566884
Short,Dong,2012,12,tt10570188
Short,Flowers with Aphasia,2012,12,tt10570142
Short,My Gentile Neighbor,2012,10,tt10569688
Short,A Time to Be Born and A Time to Die,2012,12,tt10571382
Short,The Little One,2012,12,tt10571208
Short,Broken,2012,12,tt10571324
Short,Such a Girl Like Me,2012,12,tt10573768
Short,Oasis,2012,12,tt10573716
Short,God Bless All Parents,2012,12,tt10572152
Short,Cove,2012,7,tt10575082
Short,Flight Of Desire,2012,6,tt10584598
Short,War Suffering and Nothing,2012,4,tt10595496
Short,Sister Blood,Desconocido,Desconocido,tt10598400
Short,Love Logic,2012,11,tt10602186
Short,The Day We Put Love in the Ground,2012,3,tt10602712
Short,Durable Love,2012,12,tt10602698
Short,Open Heart,2012,6,tt10602752
Short,"PJ, Tiny Planet Explorer",2012,6,tt10607032
Short,Inches,2012,11,tt10621624
Short,Mother,2012,6,tt10616428
Short,Puis-je Voir,2012,,tt10622038
Short,End of Time,2012,7,tt10623998
Short,Cuatro preguntas sobre Pura,2012,11,tt10623682
Short,Mirada de payaso,2012,11,tt10627750
Short,A Sex Talk Over Cuttlefish,2012,2,tt10636476
